PERTYPE,free_parking_at_work,transit_pass_ownership,transit_subsidy
1: Full-Time Worker,0.49820234414323716,0.2304615596034992,0.23497481185741304
2: Part-Time Worker,0.42362002567394097,0.19784026079869602,0.16313501765824504
3: University Student,0.4373423044575273,0.43335225288159274,0.07131942018861334
4: Non-Worker,,0.1578716698216134,0.20510262124786693
5: Retiree,,0.21495393990205203,0.21375770650362452
6: Driving Aged Student,0.4127906976744186,0.056710520407705085,0.21790669480490324
7: Non-Driving Aged Student,,0.04378194207836456,0.22202098090199945
8: Child To Young for School,,0.044167592694035335,0.2223404754824472
