MAZ,TAZ
668,747
669,3157
670,549
671,2287
672,4702
673,4311
674,900
675,606
676,1623
677,3267
678,2202
679,589
680,1082
681,943
682,1536
683,2694
684,3498
685,4705
686,3307
687,2391
688,2735
689,2554
690,3610
691,2517
692,3523
693,3867
694,3434
695,611
696,744
697,3324
698,2628
699,1572
700,818
701,873
702,1571
703,14
704,1572
705,2396
706,2123
707,1891
708,1631
709,1487
710,2581
711,4052
712,1925
713,2214
714,2389
715,1506
716,2572
717,2480
718,2682
719,4673
720,2013
721,2389
722,1312
723,411
724,1506
725,2469
726,388
727,610
728,991
729,1349
730,2635
731,639
732,793
733,1918
734,4314
735,2502
736,35
737,2284
738,1571
739,2797
740,2476
741,2080
742,2402
743,3484
744,3899
745,2244
746,278
747,1898
748,1555
749,2287
750,1837
751,1725
752,2422
753,2686
754,4309
755,3132
756,3106
757,1076
758,883
759,4425
760,1837
761,3835
762,3272
763,1779
764,1536
765,701
766,3888
767,2074
768,623
769,1517
770,4005
771,2731
772,4457
773,264
774,570
775,1785
776,2345
777,2875
778,1382
779,3575
780,2810
781,2150
782,3598
783,837
784,730
785,3267
786,1831
787,800
788,943
789,3958
790,3075
791,3638
792,1750
793,2506
794,2813
795,1967
796,1779
797,878
798,3496
799,2557
800,703
801,1512
802,3043
803,2750
804,2750
805,2155
806,1857
807,87
808,2327
809,1895
810,3520
811,2288
812,3596
813,2023
814,2776
815,2557
816,2288
817,2572
818,3535
819,1527
820,264
821,36
822,36
823,3350
824,3085
825,2313
826,3708
827,3366
828,654
829,3230
830,3461
831,625
832,4425
833,2391
834,2700
835,2265
836,70
837,1170
838,650
839,3899
840,2338
841,1536
842,471
843,768
844,3389
845,1786
846,3898
847,3448
848,2298
849,3520
850,2505
851,2572
852,3132
853,2391
854,754
855,983
856,829
857,3057
858,2575
859,3619
860,1571
861,2312
862,1212
863,2265
864,2637
865,4021
866,2017
867,747
868,2713
869,4009
870,4340
871,3243
872,1984
873,956
874,2338
875,3462
876,837
877,911
878,2776
879,1136
880,2416
881,2416
882,33
883,3319
884,2450
885,2762
886,3708
887,1470
888,2476
889,2335
890,3783
891,1835
892,2741
893,701
894,2144
895,1133
896,1582
897,2268
898,1807
899,1943
900,825
901,3043
902,2031
903,652
904,2121
905,2395
906,4052
907,4166
908,3598
909,956
910,1667
911,4141
912,261
913,2165
914,982
915,1403
916,2874
917,1425
918,4163
919,4273
920,1052
921,2208
922,1455
923,2676
924,3434
925,2538
926,1600
927,1180
928,936
929,1751
930,4400
931,2309
932,1635
933,1853
934,264
935,264
936,3365
937,2912
938,2129
939,2292
940,1856
941,1018
942,2169
943,728
944,378
945,4052
946,2676
947,2391
948,2541
949,2608
950,2741
951,388
952,2367
953,553
954,3889
955,253
956,541
957,3122
958,549
959,1517
960,677
961,1807
962,1823
963,729
964,1391
965,959
966,2602
967,1700
968,3523
969,4685
970,4686
971,4675
972,4208
973,765
974,3313
975,2523
976,2539
977,563
978,1527
979,851
980,936
981,1838
