purpose,outbound,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,2_48,3_48,4_48,5_48,6_48,7_48,8_48,9_48,10_48,11_48,12_48,13_48,14_48,15_48,16_48,17_48,18_48,19_48,20_48,21_48,22_48,23_48,24_48,25_48,26_48,27_48,28_48,29_48,30_48,31_48,32_48,33_48,34_48,35_48,36_48,37_48,38_48,39_48,40_48,41_48,42_48,43_48,44_48,45_48,46_48,47_48,48_48
res_bus,TRUE,0.001857394,0.006159336,0.014156472,0.033998487,0.037659841,0.077053732,0.065374532,0.050432062,0.061873857,0.042068812,0.06001144,0.043335266,0.032870301,0.061577342,0.046094814,0.03407973,0.035353357,0.045537573,0.031079056,0.042509309,0.011598084,0.020387576,0.034568694,0.018663616,0.011731518,0.010296409,0.014720668,0.01227612,0.02384277,0.001857394,0.010227952,0,0.002444547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004301941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_per,TRUE,0.002661803,0.0052726,0.01033857,0.025551287,0.049512341,0.059870186,0.078265994,0.084348399,0.071731313,0.061633886,0.046066389,0.045339568,0.042021771,0.043231445,0.04060372,0.02651746,0.044379,0.024402138,0.023058135,0.021980653,0.031915426,0.024894179,0.019017907,0.006945473,0.014599084,0.012134804,0.01746845,0.009131687,0.013433584,0.010398627,0.012891566,0.013366797,0.001168307,0.00221782,0.000756275,0,0,0,0,0,0,0,0,0,0,0.000574626,0,0.002298729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vis_bus,TRUE,0.002225486,0.002225486,0.005959349,0.008957315,0.033966249,0.023508611,0.038548163,0.042338073,0.046028364,0.035500809,0.043585962,0.035630695,0.075706473,0.070458286,0.051451642,0.063708637,0.055315759,0.030550148,0.075281507,0.028352414,0.033832742,0.029226103,0.031186325,0.016140639,0.025861233,0.020190882,0.021818086,0.016434137,0.007616022,0.006959091,0.005959349,0.009820288,0.002886337,0.000999742,0,0,0,0,0,0,0,0,0.000814551,0,0.000955043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vis_per,TRUE,0.00113882,0.003353337,0.007896194,0.015298676,0.022886057,0.030459161,0.027905431,0.037954645,0.041461473,0.052409145,0.067424934,0.034898866,0.055161177,0.044863031,0.055050678,0.056896658,0.054829887,0.039571723,0.038783718,0.042557739,0.0398706,0.025180777,0.022973773,0.019401598,0.022915714,0.026442112,0.03094468,0.023308312,0.01893237,0.016339663,0.00568018,0.006067142,0.007770932,0.002405394,0.00041682,0,0,0,0,0,0,0,0,0,0,0,0.000548584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_bus,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006868771,0.014591554,0.021878098,0.041765829,0.072550936,0.072589873,0.054882468,0.065959576,0.044302207,0.057193958,0.043329492,0.034168482,0.067163558,0.047380497,0.029800983,0.025899138,0.045484405,0.032914113,0.048403576,0.012857001,0.018229454,0.02452321,0.019039151,0.012999242,0.011413622,0.016629678,0.011804397,0.0265667,0.00204349,0.01194126,0,0.00278179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204349,0
res_per,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000814302,0.004969669,0.011052769,0.021794691,0.052633519,0.057697046,0.077155883,0.089296985,0.065714627,0.060031375,0.047196387,0.044536614,0.043349216,0.041711809,0.03914822,0.028001211,0.046411069,0.026502685,0.022206437,0.023237945,0.033555911,0.025220543,0.019481274,0.00674348,0.014960717,0.012739565,0.016165578,0.009260015,0.013723286,0.011141018,0.013610454,0.014578001,0.000986211,0.002360818,0.000814302,0,0,0,0,0,0,0,0,0,0,0.000598183,0,0.000598183
vis_bus,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002423488,0.002423488,0.005490507,0.00959696,0.035639879,0.024565116,0.037703437,0.043326934,0.044464867,0.037413138,0.040986576,0.031934163,0.063216856,0.069664971,0.053297042,0.069739445,0.05866492,0.032489847,0.076425649,0.031904722,0.026725129,0.031080948,0.033190981,0.015857864,0.02918743,0.019519261,0.022525327,0.015447868,0.007304222,0.007292545,0.005647499,0.010622814,0.003045462,0,0,0,0,0,0,0,0,0,0.00024411,0,0.000936535,0,0,0
vis_per,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001200914,0.003677535,0.006133475,0.013308319,0.024326234,0.030979258,0.026897919,0.037464475,0.041466726,0.051843264,0.070492041,0.037156318,0.054965499,0.039563125,0.054653943,0.060284541,0.055311183,0.040974495,0.039349159,0.040943479,0.0421059,0.024665181,0.024615883,0.020067004,0.024323674,0.025886677,0.028748653,0.021227721,0.017886829,0.015323889,0.00585133,0.006328163,0.00853804,0.002445257,0.000420913,0,0,0,0,0,0,0,0,0,0,0,0.000572985,0
