alt,taz,name,mgraOut,mgraRet,region,iePct,CBX.Pct,SAN.Pct
1,1,San Ysidro,24064,9279,1,0.0669,0.0,0.39
2,2,Otay Mesa,9384,9387,1,0.0169,0.0,0.0378
3,3,East Otay Mesa,9402,9402,1,0.0,0.0,0.0
4,4,Tecate,22324,22324,1,0.0053,0.0,0.028900000000000002
5,5,Jacumba,22698,22698,1,0.0,0.0,0.0
6,6,I-8,21955,21955,2,0.0463,0.025,0.09849999999999999
7,7,SR78,23579,23579,2,0.0047,0.027,0.0256
8,8,SR79,21426,21426,3,0.0064,0.008,0.0075
9,9,Pala Road,17571,17571,3,0.0096,0.009,0.0492
10,10,I-15,16902,16902,3,0.3985,0.125,0.2421
11,11,Foothill Tollway,13590,13590,4,0.0,0.0,0.0
12,12,I-5,24046,24046,4,0.4453,0.806,0.1204
