District,Workers,WFH,%WFH
1: Downtown,28893,2520,0.08721835738760253
2: Central,304095,25943,0.08531215574080468
3: North City,412752,38656,0.09365430088770012
4: South Suburban,173594,15615,0.08995126559673722
5: East Suburban,229451,21402,0.0932748168454267
6: North County West,218728,21728,0.0993379905636224
7: North County East,205097,19404,0.09460889237775297
8: East County,9525,1119,0.11748031496062993
Total,1582135,146387,0.09252497416465726
