tour_composition,NUMBER_HH,freq
All Adult,2,86498
All Adult,3,13481
All Adult,4,2862
All Adult,5,1041
All Children,2,2106
All Children,3,1624
All Children,4,666
All Children,5,591
Mixed,2,32644
Mixed,3,23724
Mixed,4,8499
Mixed,5,2248
