OwnershipCategory,tour_mode,purpose,freq
0: No Vehicles,01: SOV,1: Work,8995
0: No Vehicles,01: SOV,2: University,7
0: No Vehicles,01: SOV,5: Individual Maintenance,12174
0: No Vehicles,01: SOV,6: Individual Discretionary,748
0: No Vehicles,02: Shared Ride 2,1: Work,13272
0: No Vehicles,02: Shared Ride 2,2: University,1777
0: No Vehicles,02: Shared Ride 2,3: School,5406
0: No Vehicles,02: Shared Ride 2,5: Individual Maintenance,12016
0: No Vehicles,02: Shared Ride 2,6: Individual Discretionary,5630
0: No Vehicles,02: Shared Ride 2,7: Joint Maintenance,3428
0: No Vehicles,02: Shared Ride 2,8: Joint Discretionary,1367
0: No Vehicles,02: Shared Ride 2,9: Work-based,727
0: No Vehicles,03: Shared Ride 3+,1: Work,156
0: No Vehicles,03: Shared Ride 3+,2: University,179
0: No Vehicles,03: Shared Ride 3+,3: School,375
0: No Vehicles,03: Shared Ride 3+,5: Individual Maintenance,3613
0: No Vehicles,03: Shared Ride 3+,6: Individual Discretionary,1134
0: No Vehicles,03: Shared Ride 3+,7: Joint Maintenance,55
0: No Vehicles,04: Walk,1: Work,11397
0: No Vehicles,04: Walk,3: School,6009
0: No Vehicles,04: Walk,5: Individual Maintenance,26595
0: No Vehicles,04: Walk,6: Individual Discretionary,11759
0: No Vehicles,04: Walk,7: Joint Maintenance,317
0: No Vehicles,04: Walk,8: Joint Discretionary,831
0: No Vehicles,04: Walk,9: Work-based,2087
0: No Vehicles,05: Bike,1: Work,804
0: No Vehicles,05: Bike,2: University,406
0: No Vehicles,05: Bike,3: School,256
0: No Vehicles,05: Bike,5: Individual Maintenance,1622
0: No Vehicles,05: Bike,6: Individual Discretionary,1279
0: No Vehicles,05: Bike,9: Work-based,470
0: No Vehicles,06: Walk to Transit,1: Work,10659
0: No Vehicles,06: Walk to Transit,2: University,4746
0: No Vehicles,06: Walk to Transit,3: School,886
0: No Vehicles,06: Walk to Transit,5: Individual Maintenance,6000
0: No Vehicles,06: Walk to Transit,6: Individual Discretionary,4515
0: No Vehicles,06: Walk to Transit,7: Joint Maintenance,1140
0: No Vehicles,06: Walk to Transit,8: Joint Discretionary,566
0: No Vehicles,06: Walk to Transit,9: Work-based,258
0: No Vehicles,08: KNR to Transit,1: Work,1693
0: No Vehicles,08: KNR to Transit,2: University,439
0: No Vehicles,08: KNR to Transit,5: Individual Maintenance,456
0: No Vehicles,08: KNR to Transit,6: Individual Discretionary,1111
0: No Vehicles,08: KNR to Transit,7: Joint Maintenance,2
0: No Vehicles,08: KNR to Transit,8: Joint Discretionary,152
0: No Vehicles,10: Taxi,1: Work,68
0: No Vehicles,10: Taxi,5: Individual Maintenance,1301
0: No Vehicles,10: Taxi,6: Individual Discretionary,44
0: No Vehicles,11: TNC Single,1: Work,98
0: No Vehicles,11: TNC Single,5: Individual Maintenance,1114
0: No Vehicles,11: TNC Single,6: Individual Discretionary,41
0: No Vehicles,12: TNC Shared,1: Work,740
0: No Vehicles,12: TNC Shared,5: Individual Maintenance,6060
0: No Vehicles,12: TNC Shared,6: Individual Discretionary,207
0: No Vehicles,13: School Bus,3: School,10986
1: 1+ Veh/Adults > Veh,01: SOV,1: Work,181641
1: 1+ Veh/Adults > Veh,01: SOV,2: University,11115
1: 1+ Veh/Adults > Veh,01: SOV,3: School,1854
1: 1+ Veh/Adults > Veh,01: SOV,5: Individual Maintenance,105084
1: 1+ Veh/Adults > Veh,01: SOV,6: Individual Discretionary,30266
1: 1+ Veh/Adults > Veh,01: SOV,9: Work-based,11145
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,1: Work,69219
