period,purpose,freq_dep,freq_arr,skim_period
4.75,1: Work,36663,37.0,1: EA
4.75,2: University,248,1.0,1: EA
4.75,3: School,3377,7.0,1: EA
4.75,4: Escort,1165,558.0,1: EA
4.75,5: Individual Maintenance,526,56.0,1: EA
4.75,6: Individual Discretionary,2154,41.0,1: EA
4.75,7: Joint Maintenance,194,33.0,1: EA
4.75,8: Joint Discretionary,515,15.0,1: EA
4.75,9: Work-based,95,5.0,1: EA
5.25,1: Work,40210,83.0,1: EA
5.25,2: University,214,2.0,1: EA
5.25,3: School,4192,28.0,1: EA
5.25,4: Escort,2535,1444.0,1: EA
5.25,5: Individual Maintenance,878,208.0,1: EA
5.25,6: Individual Discretionary,2846,247.0,1: EA
5.25,7: Joint Maintenance,265,67.0,1: EA
5.25,8: Joint Discretionary,604,92.0,1: EA
5.25,9: Work-based,198,30.0,1: EA
5.75,1: Work,105475,211.0,1: EA
5.75,2: University,256,,1: EA
5.75,3: School,5259,34.0,1: EA
5.75,4: Escort,6268,3419.0,1: EA
5.75,5: Individual Maintenance,1298,395.0,1: EA
5.75,6: Individual Discretionary,3984,627.0,1: EA
5.75,7: Joint Maintenance,338,122.0,1: EA
5.75,8: Joint Discretionary,647,173.0,1: EA
5.75,9: Work-based,354,61.0,1: EA
6.25,1: Work,57408,286.0,2: AM
6.25,2: University,1413,14.0,2: AM
6.25,3: School,3825,30.0,2: AM
6.25,4: Escort,11550,9979.0,2: AM
6.25,5: Individual Maintenance,2127,725.0,2: AM
6.25,6: Individual Discretionary,4907,1390.0,2: AM
6.25,7: Joint Maintenance,397,239.0,2: AM
6.25,8: Joint Discretionary,646,388.0,2: AM
6.25,9: Work-based,465,105.0,2: AM
6.75,1: Work,91922,444.0,2: AM
6.75,2: University,2447,20.0,2: AM
6.75,3: School,44554,79.0,2: AM
6.75,4: Escort,23265,19439.0,2: AM
6.75,5: Individual Maintenance,3213,1298.0,2: AM
6.75,6: Individual Discretionary,6554,2673.0,2: AM
6.75,7: Joint Maintenance,519,344.0,2: AM
6.75,8: Joint Discretionary,714,663.0,2: AM
6.75,9: Work-based,619,170.0,2: AM
7.25,1: Work,127517,714.0,2: AM
7.25,2: University,11057,59.0,2: AM
7.25,3: School,150113,195.0,2: AM
7.25,4: Escort,70756,48105.0,2: AM
7.25,5: Individual Maintenance,5038,1924.0,2: AM
7.25,6: Individual Discretionary,9238,3569.0,2: AM
7.25,7: Joint Maintenance,681,446.0,2: AM
7.25,8: Joint Discretionary,754,690.0,2: AM
7.25,9: Work-based,774,289.0,2: AM
7.75,1: Work,158935,1142.0,2: AM
7.75,2: University,14436,95.0,2: AM
7.75,3: School,179799,294.0,2: AM
7.75,4: Escort,137682,90646.0,2: AM
7.75,5: Individual Maintenance,8786,2354.0,2: AM
7.75,6: Individual Discretionary,15561,4030.0,2: AM
7.75,7: Joint Maintenance,973,466.0,2: AM
7.75,8: Joint Discretionary,1184,553.0,2: AM
7.75,9: Work-based,918,392.0,2: AM
8.25,1: Work,118562,1571.0,2: AM
8.25,2: University,10132,152.0,2: AM
8.25,3: School,97541,378.0,2: AM
8.25,4: Escort,92854,99604.0,2: AM
8.25,5: Individual Maintenance,15972,3144.0,2: AM
8.25,6: Individual Discretionary,16528,4839.0,2: AM
8.25,7: Joint Maintenance,1633,451.0,2: AM
8.25,8: Joint Discretionary,1099,519.0,2: AM
8.25,9: Work-based,1401,494.0,2: AM
8.75,1: Work,85825,2214.0,2: AM
8.75,2: University,11390,333.0,2: AM
8.75,3: School,51649,395.0,2: AM
8.75,4: Escort,42492,72366.0,2: AM
8.75,5: Individual Maintenance,21012,3974.0,2: AM
8.75,6: Individual Discretionary,17868,6008.0,2: AM
8.75,7: Joint Maintenance,2186,458.0,2: AM
8.75,8: Joint Discretionary,1109,468.0,2: AM
8.75,9: Work-based,1844,686.0,2: AM
9.25,1: Work,49935,2884.0,3: MD
9.25,2: University,9958,532.0,3: MD
9.25,3: School,8254,387.0,3: MD
9.25,4: Escort,10410,24294.0,3: MD
9.25,5: Individual Maintenance,26869,5466.0,3: MD
9.25,6: Individual Discretionary,20202,7967.0,3: MD
9.25,7: Joint Maintenance,2895,602.0,3: MD
9.25,8: Joint Discretionary,1198,560.0,3: MD
9.25,9: Work-based,2249,1010.0,3: MD
9.75,1: Work,30973,3673.0,3: MD
9.75,2: University,7801,761.0,3: MD
9.75,3: School,4379,386.0,3: MD
9.75,4: Escort,10001,13521.0,3: MD
9.75,5: Individual Maintenance,49265,9068.0,3: MD
9.75,6: Individual Discretionary,21968,11340.0,3: MD
9.75,7: Joint Maintenance,5191,898.0,3: MD
9.75,8: Joint Discretionary,2744,737.0,3: MD
9.75,9: Work-based,2784,1342.0,3: MD
10.25,1: Work,21047,4549.0,3: MD
10.25,2: University,6603,1196.0,3: MD
10.25,3: School,2753,940.0,3: MD
10.25,4: Escort,10131,10527.0,3: MD
10.25,5: Individual Maintenance,55604,25676.0,3: MD
10.25,6: Individual Discretionary,15409,11815.0,3: MD
10.25,7: Joint Maintenance,6124,2388.0,3: MD
10.25,8: Joint Discretionary,1927,826.0,3: MD
10.25,9: Work-based,3528,1862.0,3: MD
10.75,1: Work,19583,6011.0,3: MD
10.75,2: University,5636,2116.0,3: MD
10.75,3: School,2160,1941.0,3: MD
10.75,4: Escort,10816,10296.0,3: MD
10.75,5: Individual Maintenance,56612,31823.0,3: MD
10.75,6: Individual Discretionary,15592,12612.0,3: MD
10.75,7: Joint Maintenance,6340,3217.0,3: MD
10.75,8: Joint Discretionary,1916,1023.0,3: MD
10.75,9: Work-based,4574,2600.0,3: MD
11.25,1: Work,18522,7847.0,3: MD
11.25,2: University,4702,3115.0,3: MD
11.25,3: School,1643,3631.0,3: MD
11.25,4: Escort,11170,10673.0,3: MD
11.25,5: Individual Maintenance,46194,38898.0,3: MD
11.25,6: Individual Discretionary,18501,15499.0,3: MD
11.25,7: Joint Maintenance,4832,4050.0,3: MD
11.25,8: Joint Discretionary,2293,1467.0,3: MD
11.25,9: Work-based,5750,3774.0,3: MD
11.75,1: Work,17748,9832.0,3: MD
11.75,2: University,3923,4109.0,3: MD
11.75,3: School,1609,5842.0,3: MD
11.75,4: Escort,12084,11223.0,3: MD
11.75,5: Individual Maintenance,31850,43962.0,3: MD
11.75,6: Individual Discretionary,18491,14796.0,3: MD
11.75,7: Joint Maintenance,3310,4739.0,3: MD
11.75,8: Joint Discretionary,2311,1425.0,3: MD
11.75,9: Work-based,20891,5890.0,3: MD
12.25,1: Work,17305,12565.0,3: MD
12.25,2: University,3348,9343.0,3: MD
12.25,3: School,1242,8496.0,3: MD
12.25,4: Escort,13305,12069.0,3: MD
12.25,5: Individual Maintenance,30322,43143.0,3: MD
12.25,6: Individual Discretionary,16411,15883.0,3: MD
12.25,7: Joint Maintenance,3156,4768.0,3: MD
12.25,8: Joint Discretionary,1912,1802.0,3: MD
