esc_type,chauffeur,freq_out,freq_inb
Ride Share,1: Full-Time Worker,42966,28943
Ride Share,2: Part-Time Worker,7935,7976
Ride Share,3: University Student,3078,3469
Pure Escort,1: Full-Time Worker,20503,27265
Pure Escort,2: Part-Time Worker,18474,21273
Pure Escort,3: University Student,5040,6648
Pure Escort,4: Non-Worker,59360,62710
Pure Escort,5: Retiree,8351,7651
