distbin,District,purpose,value
1,1: Downtown,Work,4850.0
1,2: Central,Work,20001.0
1,3: North City,Work,8026.0
1,4: South Suburban,Work,3419.0
1,5: East Suburban,Work,3734.0
1,6: North County West,Work,5079.0
1,7: North County East,Work,4508.0
1,8: East County,Work,127.0
2,1: Downtown,Work,2963.0
2,2: Central,Work,15977.0
2,3: North City,Work,16667.0
2,4: South Suburban,Work,7566.0
2,5: East Suburban,Work,8262.0
2,6: North County West,Work,6604.0
2,7: North County East,Work,10233.0
2,8: East County,Work,489.0
3,1: Downtown,Work,1806.0
3,2: Central,Work,16103.0
3,3: North City,Work,18814.0
3,4: South Suburban,Work,8006.0
3,5: East Suburban,Work,8835.0
3,6: North County West,Work,8420.0
3,7: North County East,Work,11717.0
3,8: East County,Work,171.0
4,1: Downtown,Work,1554.0
4,2: Central,Work,16144.0
4,3: North City,Work,21155.0
4,4: South Suburban,Work,7315.0
4,5: East Suburban,Work,8406.0
4,6: North County West,Work,12140.0
4,7: North County East,Work,10528.0
4,8: East County,Work,166.0
5,1: Downtown,Work,1389.0
5,2: Central,Work,15106.0
5,3: North City,Work,20026.0
5,4: South Suburban,Work,6554.0
5,5: East Suburban,Work,7508.0
5,6: North County West,Work,18272.0
5,7: North County East,Work,8735.0
5,8: East County,Work,162.0
6,1: Downtown,Work,1298.0
6,2: Central,Work,14785.0
6,3: North City,Work,19834.0
6,4: South Suburban,Work,5818.0
6,5: East Suburban,Work,6856.0
6,6: North County West,Work,9787.0
6,7: North County East,Work,7515.0
6,8: East County,Work,147.0
7,1: Downtown,Work,1378.0
7,2: Central,Work,18621.0
7,3: North City,Work,20970.0
7,4: South Suburban,Work,6259.0
7,5: East Suburban,Work,7029.0
7,6: North County West,Work,9819.0
7,7: North County East,Work,8402.0
7,8: East County,Work,148.0
8,1: Downtown,Work,984.0
8,2: Central,Work,18108.0
8,3: North City,Work,19835.0
8,4: South Suburban,Work,6399.0
8,5: East Suburban,Work,6471.0
8,6: North County West,Work,8248.0
8,7: North County East,Work,7602.0
8,8: East County,Work,32.0
9,1: Downtown,Work,1024.0
9,2: Central,Work,16903.0
9,3: North City,Work,21598.0
9,4: South Suburban,Work,7156.0
9,5: East Suburban,Work,7229.0
9,6: North County West,Work,9217.0
9,7: North County East,Work,7864.0
9,8: East County,Work,176.0
10,1: Downtown,Work,1484.0
10,2: Central,Work,16054.0
10,3: North City,Work,22203.0
10,4: South Suburban,Work,7872.0
10,5: East Suburban,Work,8772.0
10,6: North County West,Work,11655.0
10,7: North County East,Work,7281.0
10,8: East County,Work,85.0
11,1: Downtown,Work,1135.0
11,2: Central,Work,15178.0
11,3: North City,Work,20419.0
11,4: South Suburban,Work,7262.0
11,5: East Suburban,Work,8877.0
11,6: North County West,Work,7730.0
11,7: North County East,Work,6793.0
11,8: East County,Work,137.0
12,1: Downtown,Work,742.0
12,2: Central,Work,14138.0
12,3: North City,Work,18545.0
12,4: South Suburban,Work,6664.0
12,5: East Suburban,Work,9006.0
12,6: North County West,Work,7810.0
12,7: North County East,Work,6367.0
12,8: East County,Work,119.0
13,1: Downtown,Work,715.0
13,2: Central,Work,12668.0
13,3: North City,Work,17720.0
13,4: South Suburban,Work,6909.0
13,5: East Suburban,Work,9339.0
13,6: North County West,Work,6741.0
13,7: North County East,Work,5919.0
13,8: East County,Work,155.0
14,1: Downtown,Work,770.0
14,2: Central,Work,12237.0
14,3: North City,Work,16189.0
14,4: South Suburban,Work,6952.0
14,5: East Suburban,Work,9246.0
14,6: North County West,Work,6699.0
14,7: North County East,Work,5853.0
14,8: East County,Work,143.0
15,1: Downtown,Work,794.0
15,2: Central,Work,9559.0
15,3: North City,Work,13816.0
15,4: South Suburban,Work,6841.0
15,5: East Suburban,Work,9181.0
15,6: North County West,Work,5716.0
15,7: North County East,Work,5394.0
15,8: East County,Work,51.0
16,1: Downtown,Work,856.0
16,2: Central,Work,8047.0
16,3: North City,Work,12699.0
16,4: South Suburban,Work,6796.0
