jointCat,HHSIZE,freq
0.0,2,317809
0.0,3,178697
0.0,4,138772
0.0,5,133851
1.0,2,49325
1.0,3,23701
1.0,4,24621
1.0,5,21051
2.0,2,4007
2.0,3,4980
2.0,4,7883
2.0,5,11773
