tourdur,purpose,freq
11.0,4: Escort,30
11.0,5: Individual Maintenance,903
11.0,6: Individual Discretionary,1288
11.0,7: Joint Maintenance,69
11.0,8: Joint Discretionary,72
11.5,1: Work,65903
11.5,2: University,1318
11.5,3: School,5439
11.5,4: Escort,29
11.5,5: Individual Maintenance,650
11.5,6: Individual Discretionary,1168
11.5,7: Joint Maintenance,56
11.5,8: Joint Discretionary,63
11.5,9: Work-based,2
12.0,1: Work,41292
12.0,2: University,1196
12.0,3: School,3926
12.0,4: Escort,14
12.0,5: Individual Maintenance,510
12.0,6: Individual Discretionary,1054
12.0,7: Joint Maintenance,48
12.0,8: Joint Discretionary,56
12.0,9: Work-based,1
12.5,1: Work,31750
12.5,2: University,1112
12.5,3: School,2857
12.5,4: Escort,14
12.5,5: Individual Maintenance,398
12.5,6: Individual Discretionary,902
12.5,7: Joint Maintenance,35
12.5,8: Joint Discretionary,38
13.0,1: Work,22525
13.0,2: University,942
13.0,3: School,1956
13.0,4: Escort,8
13.0,5: Individual Maintenance,315
13.0,6: Individual Discretionary,784
13.0,7: Joint Maintenance,25
13.0,8: Joint Discretionary,37
13.5,1: Work,14698
13.5,2: University,805
13.5,3: School,1101
13.5,4: Escort,5
13.5,5: Individual Maintenance,263
13.5,6: Individual Discretionary,581
13.5,7: Joint Maintenance,23
13.5,8: Joint Discretionary,24
14.0,1: Work,9317
14.0,2: University,710
14.0,3: School,737
14.0,4: Escort,3
14.0,5: Individual Maintenance,180
14.0,6: Individual Discretionary,481
14.0,7: Joint Maintenance,19
14.0,8: Joint Discretionary,19
14.5,1: Work,5327
14.5,2: University,524
14.5,3: School,507
14.5,4: Escort,2
14.5,5: Individual Maintenance,168
14.5,6: Individual Discretionary,356
14.5,7: Joint Maintenance,11
14.5,8: Joint Discretionary,13
15.0,1: Work,2896
15.0,2: University,429
15.0,3: School,347
15.0,4: Escort,2
15.0,5: Individual Maintenance,101
15.0,6: Individual Discretionary,236
15.0,7: Joint Maintenance,10
15.0,8: Joint Discretionary,12
15.5,1: Work,1467
15.5,2: University,320
15.5,3: School,247
15.5,4: Escort,1
15.5,5: Individual Maintenance,83
15.5,6: Individual Discretionary,160
15.5,7: Joint Maintenance,4
15.5,8: Joint Discretionary,4
16.0,1: Work,802
16.0,2: University,258
16.0,3: School,254
16.0,5: Individual Maintenance,52
16.0,6: Individual Discretionary,119
16.0,7: Joint Maintenance,2
16.0,8: Joint Discretionary,6
16.5,1: Work,322
16.5,2: University,175
16.5,3: School,193
16.5,4: Escort,1
16.5,5: Individual Maintenance,34
16.5,6: Individual Discretionary,64
16.5,7: Joint Maintenance,2
16.5,8: Joint Discretionary,3
17.0,1: Work,121
17.0,2: University,116
17.0,3: School,165
17.0,4: Escort,1
17.0,5: Individual Maintenance,17
17.0,6: Individual Discretionary,56
17.0,7: Joint Maintenance,2
17.5,1: Work,37
17.5,2: University,58
17.5,3: School,105
17.5,5: Individual Maintenance,6
17.5,6: Individual Discretionary,22
17.5,7: Joint Maintenance,2
17.5,8: Joint Discretionary,5
18.0,1: Work,17
18.0,2: University,31
18.0,3: School,35
18.0,5: Individual Maintenance,2
18.0,6: Individual Discretionary,11
18.0,8: Joint Discretionary,1
18.5,1: Work,3
18.5,2: University,15
18.5,3: School,26
18.5,5: Individual Maintenance,3
18.5,6: Individual Discretionary,11
18.5,7: Joint Maintenance,1
19.0,1: Work,2
19.0,2: University,5
19.0,3: School,17
19.0,6: Individual Discretionary,3
19.0,7: Joint Maintenance,1
19.5,2: University,3
19.5,3: School,11
19.5,6: Individual Discretionary,2
20.0,3: School,4
20.0,6: Individual Discretionary,1
