num_stops,purpose,Direction,value
0,1: Work,Inbound,899733.0
0,2: University,Inbound,93857.0
0,3: School,Inbound,470000.0
0,4: Escort,Inbound,814930.0
0,5: Individual Maintenance,Inbound,515559.0
0,6: Individual Discretionary,Inbound,358886.0
0,7: Joint Maintenance,Inbound,61516.0
0,8: Joint Discretionary,Inbound,54895.0
0,9: Work-based,Inbound,106982.0
1,1: Work,Inbound,156018.0
1,2: University,Inbound,22197.0
1,3: School,Inbound,78512.0
1,4: Escort,Inbound,114341.0
1,5: Individual Maintenance,Inbound,136548.0
1,6: Individual Discretionary,Inbound,88435.0
1,7: Joint Maintenance,Inbound,19199.0
1,8: Joint Discretionary,Inbound,14904.0
1,9: Work-based,Inbound,7287.0
2,1: Work,Inbound,52487.0
2,2: University,Inbound,6024.0
2,3: School,Inbound,12647.0
2,4: Escort,Inbound,35628.0
2,5: Individual Maintenance,Inbound,56937.0
2,6: Individual Discretionary,Inbound,32995.0
2,7: Joint Maintenance,Inbound,8070.0
2,8: Joint Discretionary,Inbound,4551.0
2,9: Work-based,Inbound,658.0
3,1: Work,Inbound,68441.0
3,2: University,Inbound,24.0
3,3: School,Inbound,21437.0
3,4: Escort,Inbound,57617.0
3,5: Individual Maintenance,Inbound,40836.0
3,6: Individual Discretionary,Inbound,53795.0
3,7: Joint Maintenance,Inbound,5626.0
3,8: Joint Discretionary,Inbound,7223.0
3,9: Work-based,Inbound,1351.0
4,1: Work,Inbound,
4,2: University,Inbound,
4,3: School,Inbound,
4,4: Escort,Inbound,
4,5: Individual Maintenance,Inbound,
4,6: Individual Discretionary,Inbound,
4,7: Joint Maintenance,Inbound,
4,8: Joint Discretionary,Inbound,
5,1: Work,Inbound,
5,2: University,Inbound,
5,3: School,Inbound,
5,4: Escort,Inbound,
5,5: Individual Maintenance,Inbound,
5,6: Individual Discretionary,Inbound,
5,7: Joint Maintenance,Inbound,
5,8: Joint Discretionary,Inbound,
6,1: Work,Inbound,
6,4: Escort,Inbound,
6,5: Individual Maintenance,Inbound,
6,6: Individual Discretionary,Inbound,
6,7: Joint Maintenance,Inbound,
6,8: Joint Discretionary,Inbound,
0,1: Work,Outbound,712239.0
0,2: University,Outbound,88061.0
0,3: School,Outbound,402467.0
0,4: Escort,Outbound,776090.0
0,5: Individual Maintenance,Outbound,476287.0
0,6: Individual Discretionary,Outbound,390784.0
0,7: Joint Maintenance,Outbound,57057.0
