distbin,purpose,freq
1,4: Escort,204143
1,5: Individual Maintenance,139371
1,6: Individual Discretionary,129074
1,7: Joint Maintenance,14295
1,8: Joint Discretionary,17121
1,9: Work-based,47413
2,4: Escort,204379
2,5: Individual Maintenance,170799
2,6: Individual Discretionary,105003
2,7: Joint Maintenance,11894
2,8: Joint Discretionary,13929
2,9: Work-based,19071
3,4: Escort,137229
3,5: Individual Maintenance,130273
3,6: Individual Discretionary,66640
3,7: Joint Maintenance,15415
3,8: Joint Discretionary,10976
3,9: Work-based,12221
4,4: Escort,96280
4,5: Individual Maintenance,74854
4,6: Individual Discretionary,42034
4,7: Joint Maintenance,11552
4,8: Joint Discretionary,6858
4,9: Work-based,7398
5,4: Escort,66602
5,5: Individual Maintenance,52557
5,6: Individual Discretionary,37418
5,7: Joint Maintenance,8436
5,8: Joint Discretionary,6187
5,9: Work-based,5879
6,4: Escort,49023
6,5: Individual Maintenance,35519
6,6: Individual Discretionary,22421
6,7: Joint Maintenance,6013
6,8: Joint Discretionary,3796
6,9: Work-based,2790
7,4: Escort,36506
7,5: Individual Maintenance,25623
7,6: Individual Discretionary,19680
7,7: Joint Maintenance,4445
7,8: Joint Discretionary,3323
7,9: Work-based,2750
8,4: Escort,29792
8,5: Individual Maintenance,19447
8,6: Individual Discretionary,17030
8,7: Joint Maintenance,3397
8,8: Joint Discretionary,2925
8,9: Work-based,3035
9,4: Escort,25877
9,5: Individual Maintenance,15701
9,6: Individual Discretionary,14564
9,7: Joint Maintenance,2912
9,8: Joint Discretionary,2557
9,9: Work-based,1167
10,4: Escort,23306
10,5: Individual Maintenance,14788
10,6: Individual Discretionary,12809
10,7: Joint Maintenance,2648
10,8: Joint Discretionary,2426
10,9: Work-based,1285
11,4: Escort,21536
11,5: Individual Maintenance,11886
11,6: Individual Discretionary,10892
11,7: Joint Maintenance,2304
11,8: Joint Discretionary,1942
11,9: Work-based,1386
12,4: Escort,20210
12,5: Individual Maintenance,9730
12,6: Individual Discretionary,8844
12,7: Joint Maintenance,1886
12,8: Joint Discretionary,1606
12,9: Work-based,1579
13,4: Escort,19148
13,5: Individual Maintenance,8270
13,6: Individual Discretionary,7267
13,7: Joint Maintenance,1568
13,8: Joint Discretionary,1297
13,9: Work-based,1893
14,4: Escort,18083
14,5: Individual Maintenance,6207
14,6: Individual Discretionary,5802
14,7: Joint Maintenance,1259
14,8: Joint Discretionary,1023
14,9: Work-based,1914
15,4: Escort,16645
15,5: Individual Maintenance,4743
15,6: Individual Discretionary,4331
15,7: Joint Maintenance,973
15,8: Joint Discretionary,823
15,9: Work-based,1769
16,4: Escort,14606
16,5: Individual Maintenance,3786
16,6: Individual Discretionary,3506
16,7: Joint Maintenance,757
16,8: Joint Discretionary,576
16,9: Work-based,1574
17,4: Escort,12141
17,5: Individual Maintenance,2892
17,6: Individual Discretionary,2617
17,7: Joint Maintenance,579
17,8: Joint Discretionary,433
17,9: Work-based,1205
18,4: Escort,9808
18,5: Individual Maintenance,1989
18,6: Individual Discretionary,2038
18,7: Joint Maintenance,467
18,8: Joint Discretionary,353
18,9: Work-based,779
19,4: Escort,7158
19,5: Individual Maintenance,1447
19,6: Individual Discretionary,1585
19,7: Joint Maintenance,270
19,8: Joint Discretionary,237
19,9: Work-based,465
20,4: Escort,4413
20,5: Individual Maintenance,931
20,6: Individual Discretionary,1256
20,7: Joint Maintenance,185
20,8: Joint Discretionary,196
20,9: Work-based,215
21,4: Escort,942
21,5: Individual Maintenance,746
21,6: Individual Discretionary,968
21,7: Joint Maintenance,134
21,8: Joint Discretionary,166
21,9: Work-based,93
22,4: Escort,508
22,5: Individual Maintenance,687
22,6: Individual Discretionary,887
22,7: Joint Maintenance,133
22,8: Joint Discretionary,155
22,9: Work-based,86
23,4: Escort,406
23,5: Individual Maintenance,737
23,6: Individual Discretionary,868
23,7: Joint Maintenance,130
23,8: Joint Discretionary,129
23,9: Work-based,72
24,4: Escort,269
24,5: Individual Maintenance,666
24,6: Individual Discretionary,887
24,7: Joint Maintenance,120
24,8: Joint Discretionary,142
24,9: Work-based,47
25,4: Escort,235
25,5: Individual Maintenance,582
25,6: Individual Discretionary,838
25,7: Joint Maintenance,98
25,8: Joint Discretionary,116
25,9: Work-based,30
26,4: Escort,219
26,5: Individual Maintenance,562
26,6: Individual Discretionary,736
26,7: Joint Maintenance,124
26,8: Joint Discretionary,99
26,9: Work-based,27
27,4: Escort,170
27,5: Individual Maintenance,572
27,6: Individual Discretionary,666
27,7: Joint Maintenance,109
27,8: Joint Discretionary,129
27,9: Work-based,27
28,4: Escort,148
28,5: Individual Maintenance,539
28,6: Individual Discretionary,751
28,7: Joint Maintenance,109
28,8: Joint Discretionary,105
28,9: Work-based,28
29,4: Escort,149
29,5: Individual Maintenance,480
29,6: Individual Discretionary,679
29,7: Joint Maintenance,105
29,8: Joint Discretionary,97
29,9: Work-based,15
30,4: Escort,143
30,5: Individual Maintenance,568
30,6: Individual Discretionary,694
30,7: Joint Maintenance,90
30,8: Joint Discretionary,113
30,9: Work-based,18
31,4: Escort,111
31,5: Individual Maintenance,513
31,6: Individual Discretionary,610
31,7: Joint Maintenance,104
31,8: Joint Discretionary,96
31,9: Work-based,14
32,4: Escort,97
32,5: Individual Maintenance,475
32,6: Individual Discretionary,571
32,7: Joint Maintenance,93
32,8: Joint Discretionary,98
32,9: Work-based,9
33,4: Escort,118
33,5: Individual Maintenance,485
33,6: Individual Discretionary,550
33,7: Joint Maintenance,77
33,8: Joint Discretionary,99
33,9: Work-based,5
34,4: Escort,109
34,5: Individual Maintenance,439
34,6: Individual Discretionary,568
34,7: Joint Maintenance,81
34,8: Joint Discretionary,83
34,9: Work-based,1
35,4: Escort,108
35,5: Individual Maintenance,490
35,6: Individual Discretionary,541
35,7: Joint Maintenance,96
35,8: Joint Discretionary,79
36,4: Escort,102
36,5: Individual Maintenance,504
36,6: Individual Discretionary,482
36,7: Joint Maintenance,79
36,8: Joint Discretionary,57
36,9: Work-based,5
37,4: Escort,108
37,5: Individual Maintenance,439
37,6: Individual Discretionary,455
37,7: Joint Maintenance,69
37,8: Joint Discretionary,68
37,9: Work-based,1
38,4: Escort,98
38,5: Individual Maintenance,432
38,6: Individual Discretionary,428
38,7: Joint Maintenance,95
38,8: Joint Discretionary,70
38,9: Work-based,2
39,4: Escort,95
39,5: Individual Maintenance,417
39,6: Individual Discretionary,433
39,7: Joint Maintenance,81
39,8: Joint Discretionary,57
40,4: Escort,74
40,5: Individual Maintenance,434
40,6: Individual Discretionary,444
40,7: Joint Maintenance,72
40,8: Joint Discretionary,75
41,4: Escort,100
41,5: Individual Maintenance,425
41,6: Individual Discretionary,399
41,7: Joint Maintenance,68
41,8: Joint Discretionary,67
99999,4: Escort,1322
99999,5: Individual Maintenance,7875
99999,6: Individual Discretionary,5845
99999,7: Joint Maintenance,1089
99999,8: Joint Discretionary,889
99999,9: Work-based,10
