stop_purpose,tour_purpose,freq
04: Escort,1: Work,346966
04: Escort,2: University,31945
04: Escort,3: School,255766
04: Escort,4: Escort,388822
04: Escort,5: Individual Maintenance,95667
04: Escort,6: Individual Discretionary,88284
04: Escort,7: Joint Maintenance,16557
04: Escort,8: Joint Discretionary,13328
04: Escort,9: Work-based,1465
05: Shopping,1: Work,225279
05: Shopping,2: University,16795
05: Shopping,3: School,48809
05: Shopping,4: Escort,152484
05: Shopping,5: Individual Maintenance,311067
05: Shopping,6: Individual Discretionary,135047
05: Shopping,7: Joint Maintenance,41023
05: Shopping,8: Joint Discretionary,20588
05: Shopping,9: Work-based,1531
06: Maintenance,1: Work,97799
06: Maintenance,2: University,9988
06: Maintenance,3: School,27519
06: Maintenance,4: Escort,82699
06: Maintenance,5: Individual Maintenance,187186
06: Maintenance,6: Individual Discretionary,50161
06: Maintenance,7: Joint Maintenance,25438
06: Maintenance,8: Joint Discretionary,8563
06: Maintenance,9: Work-based,1971
07: Eating,1: Work,352525
07: Eating,2: University,13538
07: Eating,3: School,46737
07: Eating,4: Escort,82465
07: Eating,5: Individual Maintenance,131202
07: Eating,6: Individual Discretionary,83278
07: Eating,7: Joint Maintenance,17713
07: Eating,8: Joint Discretionary,12496
07: Eating,9: Work-based,8306
08: Visiting,1: Work,141242
08: Visiting,2: University,6022
08: Visiting,3: School,10433
08: Visiting,4: Escort,30606
08: Visiting,5: Individual Maintenance,34482
08: Visiting,6: Individual Discretionary,69449
08: Visiting,7: Joint Maintenance,5069
08: Visiting,8: Joint Discretionary,8980
08: Visiting,9: Work-based,1271
09: Other Discretionary,1: Work,71385
09: Other Discretionary,2: University,14577
09: Other Discretionary,3: School,76032
09: Other Discretionary,4: Escort,19084
09: Other Discretionary,5: Individual Maintenance,40138
09: Other Discretionary,6: Individual Discretionary,120395
09: Other Discretionary,7: Joint Maintenance,5676
09: Other Discretionary,8: Joint Discretionary,15079
09: Other Discretionary,9: Work-based,114
10: Work-Related,1: Work,53702
10: Work-Related,9: Work-based,16735
