grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
All,All,12929329.15984672,Total
DRIVEALONE,All,5676498.220279305,Total
SHARED2,All,2711619.7715306785,Total
SHARED3,All,2432532.766469347,Total
WALK,All,1691624.513737501,Total
BIKE,All,152621.03492076733,Total
WALK-TRANSIT,All,129816.91439121708,Total
PNR-TRANSIT,All,9159.27528574814,Total
KNR-TRANSIT,All,24497.89472915896,Total
TNC-TRANSIT,All,179.1126537142128,Total
TAXI,All,22366.19057269406,Total
TNC-REG,All,25107.272009600987,Total
TNC-SHARED,All,0.0,Total
SCHOOLBUS,All,13019.9328298986,Total
ESCOOTER,All,8955.813478970831,Total
EBIKE,All,11341.635976500722,Total
All,DRIVEALONE,4507627.8538897,Total
DRIVEALONE,DRIVEALONE,4340990.674491175,Total
SHARED2,DRIVEALONE,3861.39776338285,Total
SHARED3,DRIVEALONE,4771.267329958026,Total
WALK,DRIVEALONE,132033.00266367206,Total
BIKE,DRIVEALONE,24057.007178104057,Total
WALK-TRANSIT,DRIVEALONE,0.0,Total
PNR-TRANSIT,DRIVEALONE,0.0,Total
KNR-TRANSIT,DRIVEALONE,0.0,Total
TNC-TRANSIT,DRIVEALONE,0.0,Total
TAXI,DRIVEALONE,0.0,Total
TNC-REG,DRIVEALONE,525.6523208568176,Total
TNC-SHARED,DRIVEALONE,0.0,Total
SCHOOLBUS,DRIVEALONE,0.0,Total
ESCOOTER,DRIVEALONE,265.422987857664,Total
EBIKE,DRIVEALONE,1123.4291546930294,Total
All,SHARED2,3242403.5211425098,Total
DRIVEALONE,SHARED2,745820.3390149088,Total
SHARED2,SHARED2,2371453.5693519283,Total
SHARED3,SHARED2,3480.220539180109,Total
WALK,SHARED2,115507.50003869936,Total
BIKE,SHARED2,623.9050605332944,Total
WALK-TRANSIT,SHARED2,0.0,Total
PNR-TRANSIT,SHARED2,0.0,Total
KNR-TRANSIT,SHARED2,0.0,Total
TNC-TRANSIT,SHARED2,0.0,Total
TAXI,SHARED2,8.61696435336093,Total
TNC-REG,SHARED2,2096.851576928192,Total
TNC-SHARED,SHARED2,0.0,Total
SCHOOLBUS,SHARED2,0.0,Total
ESCOOTER,SHARED2,3412.51859597862,Total
EBIKE,SHARED2,0.0,Total
All,SHARED3,3521206.912394677,Total
DRIVEALONE,SHARED3,576501.1369627443,Total
SHARED2,SHARED3,331585.4395819447,Total
SHARED3,SHARED3,2382252.4749503382,Total
WALK,SHARED3,226405.65472743247,Total
BIKE,SHARED3,246.5391143474557,Total
WALK-TRANSIT,SHARED3,0.0,Total
PNR-TRANSIT,SHARED3,0.0,Total
KNR-TRANSIT,SHARED3,0.0,Total
TNC-TRANSIT,SHARED3,0.0,Total
TAXI,SHARED3,0.0,Total
TNC-REG,SHARED3,1443.4560886310142,Total
TNC-SHARED,SHARED3,0.0,Total
SCHOOLBUS,SHARED3,0.0,Total
ESCOOTER,SHARED3,1701.26734129026,Total
EBIKE,SHARED3,1070.94362794873,Total
All,WALK,1180943.6418395666,Total
DRIVEALONE,WALK,4495.346648197389,Total
SHARED2,WALK,303.243759899992,Total
SHARED3,WALK,29.7844898987277,Total
WALK,WALK,1176115.2669415704,Total
BIKE,WALK,0.0,Total
WALK-TRANSIT,WALK,0.0,Total
PNR-TRANSIT,WALK,0.0,Total
KNR-TRANSIT,WALK,0.0,Total
TNC-TRANSIT,WALK,0.0,Total
TAXI,WALK,0.0,Total
TNC-REG,WALK,0.0,Total
TNC-SHARED,WALK,0.0,Total
SCHOOLBUS,WALK,0.0,Total
ESCOOTER,WALK,0.0,Total
EBIKE,WALK,0.0,Total
All,BIKE,171792.55897695987,Total
DRIVEALONE,BIKE,0.0,Total
SHARED2,BIKE,41.7395962064835,Total
SHARED3,BIKE,32195.979303624143,Total
WALK,BIKE,11866.93518578854,Total
BIKE,BIKE,127687.9048913407,Total
WALK-TRANSIT,BIKE,0.0,Total
PNR-TRANSIT,BIKE,0.0,Total
KNR-TRANSIT,BIKE,0.0,Total
TNC-TRANSIT,BIKE,0.0,Total
TAXI,BIKE,0.0,Total
TNC-REG,BIKE,0.0,Total
TNC-SHARED,BIKE,0.0,Total
SCHOOLBUS,BIKE,0.0,Total
ESCOOTER,BIKE,0.0,Total
EBIKE,BIKE,0.0,Total
All,WALK-TRANSIT,219331.70408164884,Total
DRIVEALONE,WALK-TRANSIT,8690.723162279459,Total
SHARED2,WALK-TRANSIT,4374.381477316148,Total
SHARED3,WALK-TRANSIT,9803.03985634747,Total
WALK,WALK-TRANSIT,29696.154180338268,Total
BIKE,WALK-TRANSIT,5.67867644181647,Total
WALK-TRANSIT,WALK-TRANSIT,129816.91439121708,Total
PNR-TRANSIT,WALK-TRANSIT,0.0,Total
KNR-TRANSIT,WALK-TRANSIT,0.0,Total
TNC-TRANSIT,WALK-TRANSIT,0.0,Total
TAXI,WALK-TRANSIT,0.0,Total
TNC-REG,WALK-TRANSIT,4462.545614378751,Total
TNC-SHARED,WALK-TRANSIT,0.0,Total
SCHOOLBUS,WALK-TRANSIT,0.0,Total
ESCOOTER,WALK-TRANSIT,28.038125525595497,Total
EBIKE,WALK-TRANSIT,0.0,Total
All,PNR-TRANSIT,3693.256163608121,Total
DRIVEALONE,PNR-TRANSIT,0.0,Total
SHARED2,PNR-TRANSIT,0.0,Total
SHARED3,PNR-TRANSIT,0.0,Total
WALK,PNR-TRANSIT,0.0,Total
BIKE,PNR-TRANSIT,0.0,Total
WALK-TRANSIT,PNR-TRANSIT,0.0,Total
PNR-TRANSIT,PNR-TRANSIT,9159.27528574814,Total
KNR-TRANSIT,PNR-TRANSIT,0.0,Total
TNC-TRANSIT,PNR-TRANSIT,0.0,Total
TAXI,PNR-TRANSIT,0.0,Total
TNC-REG,PNR-TRANSIT,0.0,Total
TNC-SHARED,PNR-TRANSIT,0.0,Total
SCHOOLBUS,PNR-TRANSIT,0.0,Total
ESCOOTER,PNR-TRANSIT,0.0,Total
EBIKE,PNR-TRANSIT,0.0,Total
All,KNR-TRANSIT,17498.496235113544,Total
DRIVEALONE,KNR-TRANSIT,0.0,Total
SHARED2,KNR-TRANSIT,0.0,Total
SHARED3,KNR-TRANSIT,0.0,Total
WALK,KNR-TRANSIT,0.0,Total
BIKE,KNR-TRANSIT,0.0,Total
WALK-TRANSIT,KNR-TRANSIT,0.0,Total
PNR-TRANSIT,KNR-TRANSIT,0.0,Total
KNR-TRANSIT,KNR-TRANSIT,24497.89472915896,Total
TNC-TRANSIT,KNR-TRANSIT,0.0,Total
TAXI,KNR-TRANSIT,0.0,Total
