OwnershipCategory,tour_mode,purpose,freq
1: 1+ Veh/Adults > Veh,06: Walk to Transit,1: Work,13397
1: 1+ Veh/Adults > Veh,06: Walk to Transit,2: University,7923
1: 1+ Veh/Adults > Veh,06: Walk to Transit,3: School,2533
1: 1+ Veh/Adults > Veh,06: Walk to Transit,4: Escort,27
1: 1+ Veh/Adults > Veh,06: Walk to Transit,5: Individual Maintenance,4573
1: 1+ Veh/Adults > Veh,06: Walk to Transit,6: Individual Discretionary,4171
1: 1+ Veh/Adults > Veh,06: Walk to Transit,9: Work-based,213
1: 1+ Veh/Adults > Veh,07: PNR to Transit,1: Work,1015
1: 1+ Veh/Adults > Veh,07: PNR to Transit,2: University,699
1: 1+ Veh/Adults > Veh,07: PNR to Transit,4: Escort,1
1: 1+ Veh/Adults > Veh,07: PNR to Transit,5: Individual Maintenance,202
1: 1+ Veh/Adults > Veh,07: PNR to Transit,6: Individual Discretionary,193
1: 1+ Veh/Adults > Veh,08: KNR to Transit,1: Work,3589
1: 1+ Veh/Adults > Veh,08: KNR to Transit,2: University,1310
1: 1+ Veh/Adults > Veh,08: KNR to Transit,3: School,465
1: 1+ Veh/Adults > Veh,08: KNR to Transit,4: Escort,10
1: 1+ Veh/Adults > Veh,08: KNR to Transit,5: Individual Maintenance,916
1: 1+ Veh/Adults > Veh,08: KNR to Transit,6: Individual Discretionary,2412
1: 1+ Veh/Adults > Veh,10: Taxi,1: Work,115
1: 1+ Veh/Adults > Veh,10: Taxi,4: Escort,20
1: 1+ Veh/Adults > Veh,10: Taxi,5: Individual Maintenance,11
1: 1+ Veh/Adults > Veh,10: Taxi,6: Individual Discretionary,272
1: 1+ Veh/Adults > Veh,10: Taxi,9: Work-based,33
1: 1+ Veh/Adults > Veh,11: TNC Single,1: Work,236
1: 1+ Veh/Adults > Veh,11: TNC Single,4: Escort,28
1: 1+ Veh/Adults > Veh,11: TNC Single,5: Individual Maintenance,23
1: 1+ Veh/Adults > Veh,11: TNC Single,6: Individual Discretionary,257
1: 1+ Veh/Adults > Veh,11: TNC Single,9: Work-based,35
1: 1+ Veh/Adults > Veh,12: TNC Shared,1: Work,1148
1: 1+ Veh/Adults > Veh,12: TNC Shared,4: Escort,75
1: 1+ Veh/Adults > Veh,12: TNC Shared,5: Individual Maintenance,49
1: 1+ Veh/Adults > Veh,12: TNC Shared,6: Individual Discretionary,1121
1: 1+ Veh/Adults > Veh,12: TNC Shared,9: Work-based,67
1: 1+ Veh/Adults > Veh,13: School Bus,3: School,24139
2: Vehicles >= Adults,01: SOV,1: Work,494563
2: Vehicles >= Adults,01: SOV,2: University,36405
2: Vehicles >= Adults,01: SOV,3: School,8775
2: Vehicles >= Adults,01: SOV,4: Escort,183990
2: Vehicles >= Adults,01: SOV,5: Individual Maintenance,264928
2: Vehicles >= Adults,01: SOV,6: Individual Discretionary,164849
2: Vehicles >= Adults,01: SOV,9: Work-based,41296
2: Vehicles >= Adults,02: Shared Ride 2,1: Work,109372
2: Vehicles >= Adults,02: Shared Ride 2,2: University,9327
2: Vehicles >= Adults,02: Shared Ride 2,3: School,181341
2: Vehicles >= Adults,02: Shared Ride 2,4: Escort,272889
2: Vehicles >= Adults,02: Shared Ride 2,5: Individual Maintenance,102963
2: Vehicles >= Adults,02: Shared Ride 2,6: Individual Discretionary,82278
2: Vehicles >= Adults,02: Shared Ride 2,9: Work-based,10477
2: Vehicles >= Adults,03: Shared Ride 3+,1: Work,65336
2: Vehicles >= Adults,03: Shared Ride 3+,2: University,7412
2: Vehicles >= Adults,03: Shared Ride 3+,3: School,220322
2: Vehicles >= Adults,03: Shared Ride 3+,4: Escort,309931
2: Vehicles >= Adults,03: Shared Ride 3+,5: Individual Maintenance,155757
2: Vehicles >= Adults,03: Shared Ride 3+,6: Individual Discretionary,90971
2: Vehicles >= Adults,03: Shared Ride 3+,9: Work-based,5240
2: Vehicles >= Adults,04: Walk,1: Work,3734
2: Vehicles >= Adults,04: Walk,2: University,2238
2: Vehicles >= Adults,04: Walk,3: School,8719
2: Vehicles >= Adults,04: Walk,4: Escort,14598
2: Vehicles >= Adults,04: Walk,5: Individual Maintenance,34950
2: Vehicles >= Adults,04: Walk,6: Individual Discretionary,33572
2: Vehicles >= Adults,04: Walk,9: Work-based,18933
2: Vehicles >= Adults,05: Bike,1: Work,16010
2: Vehicles >= Adults,05: Bike,3: School,8443
2: Vehicles >= Adults,05: Bike,4: Escort,835
2: Vehicles >= Adults,05: Bike,5: Individual Maintenance,3244
2: Vehicles >= Adults,05: Bike,6: Individual Discretionary,12155
2: Vehicles >= Adults,05: Bike,9: Work-based,410
2: Vehicles >= Adults,06: Walk to Transit,1: Work,2743
2: Vehicles >= Adults,06: Walk to Transit,2: University,1227
2: Vehicles >= Adults,06: Walk to Transit,3: School,442
2: Vehicles >= Adults,06: Walk to Transit,4: Escort,2
2: Vehicles >= Adults,06: Walk to Transit,5: Individual Maintenance,977
2: Vehicles >= Adults,06: Walk to Transit,6: Individual Discretionary,1218
2: Vehicles >= Adults,06: Walk to Transit,9: Work-based,47
2: Vehicles >= Adults,07: PNR to Transit,1: Work,2292
2: Vehicles >= Adults,07: PNR to Transit,2: University,779
2: Vehicles >= Adults,07: PNR to Transit,6: Individual Discretionary,239
2: Vehicles >= Adults,08: KNR to Transit,1: Work,1163
2: Vehicles >= Adults,08: KNR to Transit,2: University,605
2: Vehicles >= Adults,08: KNR to Transit,3: School,747
2: Vehicles >= Adults,08: KNR to Transit,4: Escort,1
2: Vehicles >= Adults,08: KNR to Transit,5: Individual Maintenance,537
2: Vehicles >= Adults,08: KNR to Transit,6: Individual Discretionary,414
2: Vehicles >= Adults,09: TNC to Transit,6: Individual Discretionary,1763
2: Vehicles >= Adults,10: Taxi,1: Work,56
2: Vehicles >= Adults,10: Taxi,2: University,21
2: Vehicles >= Adults,10: Taxi,4: Escort,92
2: Vehicles >= Adults,10: Taxi,5: Individual Maintenance,107
2: Vehicles >= Adults,10: Taxi,6: Individual Discretionary,2833
2: Vehicles >= Adults,10: Taxi,9: Work-based,91
2: Vehicles >= Adults,11: TNC Single,1: Work,92
2: Vehicles >= Adults,11: TNC Single,2: University,12
2: Vehicles >= Adults,11: TNC Single,4: Escort,103
2: Vehicles >= Adults,11: TNC Single,5: Individual Maintenance,134
2: Vehicles >= Adults,11: TNC Single,6: Individual Discretionary,2935
2: Vehicles >= Adults,11: TNC Single,9: Work-based,101
2: Vehicles >= Adults,12: TNC Shared,1: Work,421
2: Vehicles >= Adults,12: TNC Shared,2: University,109
2: Vehicles >= Adults,12: TNC Shared,4: Escort,295
2: Vehicles >= Adults,12: TNC Shared,5: Individual Maintenance,329
2: Vehicles >= Adults,12: TNC Shared,6: Individual Discretionary,9961
2: Vehicles >= Adults,12: TNC Shared,9: Work-based,200
2: Vehicles >= Adults,13: School Bus,3: School,32898
