distbin,District,purpose,value
26,1: Downtown,Work,310.0
26,2: Central,Work,5457.0
26,3: North City,Work,6356.0
26,4: South Suburban,Work,2401.0
26,5: East Suburban,Work,3131.0
26,6: North County West,Work,3848.0
26,7: North County East,Work,3591.0
26,8: East County,Work,416.0
27,1: Downtown,Work,244.0
27,2: Central,Work,4643.0
27,3: North City,Work,5077.0
27,4: South Suburban,Work,2353.0
27,5: East Suburban,Work,3245.0
27,6: North County West,Work,3099.0
27,7: North County East,Work,3563.0
27,8: East County,Work,436.0
28,1: Downtown,Work,246.0
28,2: Central,Work,4578.0
28,3: North City,Work,4790.0
28,4: South Suburban,Work,2141.0
28,5: East Suburban,Work,2910.0
28,6: North County West,Work,2943.0
28,7: North County East,Work,3564.0
28,8: East County,Work,349.0
29,1: Downtown,Work,299.0
29,2: Central,Work,5460.0
29,3: North City,Work,5506.0
29,4: South Suburban,Work,2442.0
29,5: East Suburban,Work,3368.0
29,6: North County West,Work,2720.0
29,7: North County East,Work,3851.0
29,8: East County,Work,430.0
30,1: Downtown,Work,285.0
30,2: Central,Work,4655.0
30,3: North City,Work,5326.0
30,4: South Suburban,Work,2328.0
30,5: East Suburban,Work,3246.0
30,6: North County West,Work,2782.0
30,7: North County East,Work,3699.0
30,8: East County,Work,457.0
31,1: Downtown,Work,300.0
31,2: Central,Work,4320.0
31,3: North City,Work,5227.0
31,4: South Suburban,Work,2056.0
31,5: East Suburban,Work,3709.0
31,6: North County West,Work,2789.0
31,7: North County East,Work,3602.0
31,8: East County,Work,512.0
32,1: Downtown,Work,254.0
32,2: Central,Work,4434.0
32,3: North City,Work,5290.0
32,4: South Suburban,Work,1820.0
32,5: East Suburban,Work,3966.0
32,6: North County West,Work,2771.0
32,7: North County East,Work,4316.0
32,8: East County,Work,526.0
33,1: Downtown,Work,258.0
33,2: Central,Work,4658.0
33,3: North City,Work,5467.0
33,4: South Suburban,Work,1814.0
33,5: East Suburban,Work,3692.0
33,6: North County West,Work,3056.0
33,7: North County East,Work,4233.0
33,8: East County,Work,441.0
34,1: Downtown,Work,286.0
34,2: Central,Work,4367.0
34,3: North City,Work,6037.0
34,4: South Suburban,Work,1755.0
34,5: East Suburban,Work,3870.0
34,6: North County West,Work,2824.0
34,7: North County East,Work,4221.0
34,8: East County,Work,462.0
35,1: Downtown,Work,284.0
35,2: Central,Work,4210.0
35,3: North City,Work,5228.0
35,4: South Suburban,Work,1735.0
35,5: East Suburban,Work,3388.0
35,6: North County West,Work,2598.0
35,7: North County East,Work,3951.0
35,8: East County,Work,604.0
36,1: Downtown,Work,229.0
36,2: Central,Work,4039.0
36,3: North City,Work,5499.0
36,4: South Suburban,Work,2023.0
36,5: East Suburban,Work,3585.0
36,6: North County West,Work,2865.0
36,7: North County East,Work,3744.0
36,8: East County,Work,752.0
37,1: Downtown,Work,222.0
37,2: Central,Work,3866.0
37,3: North City,Work,5338.0
37,4: South Suburban,Work,1979.0
37,5: East Suburban,Work,2977.0
37,6: North County West,Work,2994.0
37,7: North County East,Work,4072.0
37,8: East County,Work,779.0
38,1: Downtown,Work,203.0
38,2: Central,Work,3574.0
38,3: North City,Work,4504.0
38,4: South Suburban,Work,1899.0
38,5: East Suburban,Work,2638.0
38,6: North County West,Work,2969.0
38,7: North County East,Work,4339.0
38,8: East County,Work,689.0
39,1: Downtown,Work,187.0
39,2: Central,Work,3215.0
39,3: North City,Work,4388.0
39,4: South Suburban,Work,2076.0
39,5: East Suburban,Work,3027.0
39,6: North County West,Work,2704.0
39,7: North County East,Work,4210.0
39,8: East County,Work,631.0
40,1: Downtown,Work,192.0
40,2: Central,Work,3181.0
40,3: North City,Work,3787.0
40,4: South Suburban,Work,1960.0
40,5: East Suburban,Work,2315.0
40,6: North County West,Work,2784.0
40,7: North County East,Work,3915.0
40,8: East County,Work,474.0
41,1: Downtown,Work,176.0
41,2: Central,Work,3009.0
41,3: North City,Work,3409.0
41,4: South Suburban,Work,1634.0
41,5: East Suburban,Work,2303.0
41,6: North County West,Work,2544.0
41,7: North County East,Work,3529.0
