period,purpose,freq_dep,freq_arr,skim_period
4.75,1: Work,30033.0,34.0,1: EA
4.75,2: University,171.0,,1: EA
4.75,3: School,3570.0,12.0,1: EA
4.75,4: Escort,1272.0,648.0,1: EA
4.75,5: Individual Maintenance,523.0,56.0,1: EA
4.75,6: Individual Discretionary,2213.0,52.0,1: EA
4.75,7: Joint Maintenance,195.0,26.0,1: EA
4.75,8: Joint Discretionary,572.0,16.0,1: EA
4.75,9: Work-based,69.0,4.0,1: EA
5.25,1: Work,32933.0,64.0,1: EA
5.25,2: University,189.0,,1: EA
5.25,3: School,4379.0,22.0,1: EA
5.25,4: Escort,2654.0,1551.0,1: EA
5.25,5: Individual Maintenance,776.0,178.0,1: EA
5.25,6: Individual Discretionary,3063.0,244.0,1: EA
5.25,7: Joint Maintenance,217.0,54.0,1: EA
5.25,8: Joint Discretionary,681.0,96.0,1: EA
5.25,9: Work-based,150.0,17.0,1: EA
5.75,1: Work,87129.0,168.0,1: EA
5.75,2: University,209.0,2.0,1: EA
5.75,3: School,5339.0,38.0,1: EA
5.75,4: Escort,6334.0,3536.0,1: EA
5.75,5: Individual Maintenance,1258.0,338.0,1: EA
5.75,6: Individual Discretionary,3881.0,586.0,1: EA
5.75,7: Joint Maintenance,317.0,100.0,1: EA
5.75,8: Joint Discretionary,668.0,205.0,1: EA
5.75,9: Work-based,382.0,58.0,1: EA
6.25,1: Work,49758.0,259.0,2: AM
6.25,2: University,1123.0,8.0,2: AM
6.25,3: School,3852.0,36.0,2: AM
6.25,4: Escort,12074.0,10300.0,2: AM
6.25,5: Individual Maintenance,1957.0,681.0,2: AM
6.25,6: Individual Discretionary,5189.0,1374.0,2: AM
6.25,7: Joint Maintenance,441.0,224.0,2: AM
6.25,8: Joint Discretionary,689.0,380.0,2: AM
6.25,9: Work-based,409.0,119.0,2: AM
6.75,1: Work,79418.0,371.0,2: AM
6.75,2: University,1927.0,16.0,2: AM
6.75,3: School,46178.0,80.0,2: AM
