num_stops,purpose,Direction,value
0,1: Work,Inbound,733529.0
0,2: University,Inbound,74273.0
0,3: School,Inbound,482152.0
0,4: Escort,Inbound,892422.0
0,5: Individual Maintenance,Inbound,538642.0
0,6: Individual Discretionary,Inbound,380132.0
0,7: Joint Maintenance,Inbound,65182.0
0,8: Joint Discretionary,Inbound,61637.0
0,9: Work-based,Inbound,89095.0
1,1: Work,Inbound,133069.0
1,2: University,Inbound,18330.0
1,3: School,Inbound,82402.0
1,4: Escort,Inbound,121162.0
1,5: Individual Maintenance,Inbound,136064.0
1,6: Individual Discretionary,Inbound,90417.0
1,7: Joint Maintenance,Inbound,20596.0
1,8: Joint Discretionary,Inbound,16724.0
1,9: Work-based,Inbound,6197.0
2,1: Work,Inbound,43391.0
2,2: University,Inbound,4815.0
2,3: School,Inbound,13337.0
2,4: Escort,Inbound,37183.0
2,5: Individual Maintenance,Inbound,57482.0
2,6: Individual Discretionary,Inbound,33641.0
2,7: Joint Maintenance,Inbound,8757.0
2,8: Joint Discretionary,Inbound,5181.0
2,9: Work-based,Inbound,564.0
3,1: Work,Inbound,54831.0
3,2: University,Inbound,32.0
3,3: School,Inbound,21934.0
3,4: Escort,Inbound,58364.0
3,5: Individual Maintenance,Inbound,40234.0
3,6: Individual Discretionary,Inbound,54583.0
3,7: Joint Maintenance,Inbound,6116.0
3,8: Joint Discretionary,Inbound,8216.0
3,9: Work-based,Inbound,1162.0
4,1: Work,Inbound,
4,2: University,Inbound,
4,3: School,Inbound,
4,4: Escort,Inbound,
4,5: Individual Maintenance,Inbound,
4,6: Individual Discretionary,Inbound,
4,7: Joint Maintenance,Inbound,
4,8: Joint Discretionary,Inbound,
5,1: Work,Inbound,
5,2: University,Inbound,
5,3: School,Inbound,
5,4: Escort,Inbound,
5,5: Individual Maintenance,Inbound,
5,6: Individual Discretionary,Inbound,
5,7: Joint Maintenance,Inbound,
5,8: Joint Discretionary,Inbound,
6,1: Work,Inbound,
6,2: University,Inbound,
6,4: Escort,Inbound,
6,5: Individual Maintenance,Inbound,
6,6: Individual Discretionary,Inbound,
6,7: Joint Maintenance,Inbound,
6,8: Joint Discretionary,Inbound,
0,1: Work,Outbound,579462.0
0,2: University,Outbound,69307.0
0,3: School,Outbound,414863.0
0,4: Escort,Outbound,848315.0
0,5: Individual Maintenance,Outbound,493231.0
0,6: Individual Discretionary,Outbound,408454.0
0,7: Joint Maintenance,Outbound,60483.0
0,8: Joint Discretionary,Outbound,66737.0
0,9: Work-based,Outbound,84803.0
1,1: Work,Outbound,202306.0
1,2: University,Outbound,15080.0
1,3: School,Outbound,102033.0
1,4: Escort,Outbound,162174.0
