PERTYPE,itours,jtours,active_persons,tours,tour_rate
1: Full-Time Worker,1405101,93090,966892,1498191,1.5494915667933957
2: Part-Time Worker,537333,50298,288453,587631,2.0371811005605767
3: University Student,243107,19062,146323,262169,1.7917142212775845
4: Non-Worker,615070,92580,319456,707650,2.2151720424722026
5: Retiree,402552,84959,282292,487511,1.7269741969308376
6: Driving Aged Student,107091,3602,83756,110693,1.3216127799799418
7: Non-Driving Aged Student,597240,57117,485466,654357,1.3478946002397696
8: Child To Young for School,194927,67057,162232,261984,1.614872528231175
Total,4102421,1539272,2734870,5641693,2.0628742865291585
