tourdur,purpose,freq
12.5,7: Joint Maintenance,33
12.5,8: Joint Discretionary,55
13.0,1: Work,19205
13.0,2: University,746
13.0,3: School,1978
13.0,4: Escort,10
13.0,5: Individual Maintenance,348
13.0,6: Individual Discretionary,790
13.0,7: Joint Maintenance,35
13.0,8: Joint Discretionary,41
13.0,9: Work-based,1
13.5,1: Work,12260
13.5,2: University,699
13.5,3: School,1214
13.5,4: Escort,9
13.5,5: Individual Maintenance,261
13.5,6: Individual Discretionary,668
13.5,7: Joint Maintenance,24
13.5,8: Joint Discretionary,32
14.0,1: Work,7472
14.0,2: University,537
14.0,3: School,773
14.0,4: Escort,1
14.0,5: Individual Maintenance,187
14.0,6: Individual Discretionary,481
14.0,7: Joint Maintenance,19
14.0,8: Joint Discretionary,15
14.5,1: Work,4342
14.5,2: University,446
14.5,3: School,513
14.5,4: Escort,3
14.5,5: Individual Maintenance,178
14.5,6: Individual Discretionary,371
14.5,7: Joint Maintenance,15
14.5,8: Joint Discretionary,16
15.0,1: Work,2556
15.0,2: University,348
15.0,3: School,387
15.0,4: Escort,2
15.0,5: Individual Maintenance,106
15.0,6: Individual Discretionary,283
15.0,7: Joint Maintenance,17
15.0,8: Joint Discretionary,13
15.5,1: Work,1275
15.5,2: University,286
15.5,3: School,285
15.5,4: Escort,4
15.5,5: Individual Maintenance,78
15.5,6: Individual Discretionary,190
15.5,7: Joint Maintenance,8
15.5,8: Joint Discretionary,14
16.0,1: Work,636
16.0,2: University,166
16.0,3: School,267
16.0,4: Escort,2
16.0,5: Individual Maintenance,56
16.0,6: Individual Discretionary,130
16.0,7: Joint Maintenance,4
16.0,8: Joint Discretionary,5
16.5,1: Work,247
16.5,2: University,141
16.5,3: School,234
16.5,5: Individual Maintenance,34
16.5,6: Individual Discretionary,105
16.5,7: Joint Maintenance,5
16.5,8: Joint Discretionary,3
17.0,1: Work,109
17.0,2: University,80
17.0,3: School,171
17.0,5: Individual Maintenance,15
17.0,6: Individual Discretionary,51
17.0,7: Joint Maintenance,1
17.0,8: Joint Discretionary,1
17.5,1: Work,41
17.5,2: University,46
17.5,3: School,129
17.5,5: Individual Maintenance,6
17.5,6: Individual Discretionary,29
17.5,7: Joint Maintenance,1
17.5,8: Joint Discretionary,2
18.0,1: Work,12
18.0,2: University,28
18.0,3: School,42
18.0,5: Individual Maintenance,5
18.0,6: Individual Discretionary,9
18.0,8: Joint Discretionary,1
18.5,1: Work,3
18.5,2: University,9
18.5,3: School,10
18.5,5: Individual Maintenance,1
18.5,6: Individual Discretionary,8
18.5,8: Joint Discretionary,1
19.0,2: University,3
19.0,3: School,21
19.0,5: Individual Maintenance,4
19.0,6: Individual Discretionary,4
19.0,8: Joint Discretionary,1
19.5,3: School,11
19.5,6: Individual Discretionary,3
20.0,2: University,1
20.0,3: School,8
20.0,6: Individual Discretionary,1
