tour_composition,NUMBER_HH,freq
All Adult,2,93378
All Adult,3,14632
All Adult,4,2868
All Adult,5,1039
All Children,2,2417
All Children,3,1853
All Children,4,825
All Children,5,757
Mixed,2,36617
Mixed,3,26140
Mixed,4,9376
Mixed,5,2507
