tour_purpose,freq,stop_skim_period,stop_period
1: Work,9521.23346219597,1: EA,0.25
1: Work,45796.0,3: MD,13.25
1: Work,51558.0,3: MD,13.75
1: Work,70566.0,3: MD,14.25
1: Work,75764.0,3: MD,14.75
1: Work,106599.0,3: MD,15.25
1: Work,113490.0,4: PM,15.75
1: Work,136869.0,4: PM,16.25
1: Work,181120.0,4: PM,16.75
1: Work,209604.0,4: PM,17.25
1: Work,130989.0,4: PM,18.25
1: Work,84282.0,4: PM,18.75
1: Work,76168.0,5: EV,19.25
1: Work,50484.0,5: EV,19.75
1: Work,38395.0,5: EV,20.25
1: Work,29957.0,5: EV,20.75
1: Work,25354.0,5: EV,21.25
1: Work,21275.0,5: EV,21.75
1: Work,19180.0,5: EV,22.25
1: Work,17857.0,5: EV,22.75
1: Work,17693.0,5: EV,23.25
1: Work,19457.0,5: EV,23.75
1: Work,41832.0,3: MD,12.75
1: Work,36599.0,3: MD,12.25
1: Work,183756.0,4: PM,17.75
1: Work,33156.0,3: MD,11.25
1: Work,35526.0,3: MD,11.75
1: Work,6680.298184746126,1: EA,0.75
1: Work,4664.22287171879,1: EA,1.25
1: Work,3467.743798749536,1: EA,1.75
1: Work,2927.6078332218453,1: EA,2.25
1: Work,2940.022503722122,1: EA,2.75
1: Work,3579.0044043451685,1: EA,3.25
1: Work,8774.594898629335,1: EA,4.25
1: Work,16045.319678502203,1: EA,4.75
1: Work,36813.0,1: EA,5.25
1: Work,93057.0,1: EA,5.75
1: Work,5219.952364168895,1: EA,3.75
1: Work,31298.0,3: MD,10.75
1: Work,103617.0,2: AM,6.75
1: Work,149674.0,2: AM,7.25
1: Work,191854.0,2: AM,7.75
1: Work,146455.0,2: AM,8.25
1: Work,100103.0,2: AM,8.75
1: Work,66964.0,3: MD,9.25
1: Work,50891.0,3: MD,9.75
1: Work,32816.0,3: MD,10.25
1: Work,69838.0,2: AM,6.25
2: University,9691.0,4: PM,17.25
2: University,10722.0,4: PM,16.75
2: University,8037.0,4: PM,16.25
2: University,7975.0,4: PM,15.75
2: University,8816.0,3: MD,13.25
2: University,8464.0,3: MD,14.75
2: University,8458.0,3: MD,14.25
2: University,8768.0,3: MD,13.75
2: University,8683.0,4: PM,17.75
2: University,8469.0,3: MD,15.25
2: University,8031.0,4: PM,18.25
2: University,1212.0,5: EV,23.75
2: University,5557.0,5: EV,19.25
2: University,5391.0,5: EV,19.75
2: University,5225.0,5: EV,20.25
2: University,4912.0,5: EV,20.75
2: University,4249.0,5: EV,21.25
2: University,3500.0,5: EV,21.75
2: University,2908.0,5: EV,22.25
2: University,2256.0,5: EV,22.75
2: University,1614.0,5: EV,23.25
2: University,10004.0,3: MD,12.75
2: University,7263.0,4: PM,18.75
2: University,14942.0,3: MD,12.25
2: University,250.0,1: EA,5.75
2: University,8025.0,3: MD,11.25
2: University,9382.0,3: MD,11.75
2: University,412.6890468061914,1: EA,0.25
2: University,265.6897309332951,1: EA,0.75
2: University,163.07723365807914,1: EA,1.25
2: University,95.30829473690467,1: EA,1.75
2: University,54.30105960441804,1: EA,2.25
2: University,31.97968236071931,1: EA,2.75
2: University,17.95958889327557,1: EA,3.75
2: University,20.86612925325561,1: EA,4.25
2: University,34.789016956353436,1: EA,4.75
2: University,211.0,1: EA,5.25
2: University,21.340216797507605,1: EA,3.25
2: University,1344.0,2: AM,6.25
2: University,7885.0,3: MD,10.25
2: University,9163.0,3: MD,9.75
2: University,10143.0,3: MD,9.25
2: University,12106.0,2: AM,8.75
2: University,9080.0,3: MD,10.75
2: University,14969.0,2: AM,7.75
2: University,9981.0,2: AM,7.25
2: University,2208.0,2: AM,6.75
2: University,10124.0,2: AM,8.25
3: School,42475.0,4: PM,17.75
3: School,23194.0,3: MD,13.25
3: School,27825.0,3: MD,13.75
3: School,68973.0,3: MD,14.25
3: School,172243.0,3: MD,14.75
3: School,165490.0,3: MD,15.25
3: School,107153.0,4: PM,15.75
3: School,63141.0,4: PM,16.25
3: School,55061.0,4: PM,16.75
3: School,52086.0,4: PM,17.25
3: School,22518.0,4: PM,18.25
3: School,763.0,5: EV,23.75
3: School,7307.0,5: EV,19.25
3: School,4025.0,5: EV,19.75
3: School,2317.0,5: EV,20.25
3: School,1274.0,5: EV,20.75
3: School,842.0,5: EV,21.25
3: School,765.0,5: EV,21.75
3: School,660.0,5: EV,22.25
3: School,670.0,5: EV,22.75
3: School,757.0,5: EV,23.25
3: School,18833.0,3: MD,12.75
3: School,12206.0,4: PM,18.75
3: School,14541.0,3: MD,12.25
3: School,6625.0,1: EA,5.75
3: School,9266.0,3: MD,11.25
3: School,684.3509270033001,1: EA,0.75
3: School,613.1883064762986,1: EA,1.25
3: School,498.6179781922302,1: EA,1.75
3: School,380.6732767590833,1: EA,2.25
3: School,293.38222828891696,1: EA,2.75
3: School,252.67848461864742,1: EA,3.25
3: School,271.1603084466639,1: EA,3.75
3: School,394.27584400566866,1: EA,4.25
3: School,797.5059144817402,1: EA,4.75
3: School,5522.0,1: EA,5.25
3: School,695.1667317274502,1: EA,0.25
3: School,4819.0,2: AM,6.25
3: School,9750.0,3: MD,10.75
3: School,8747.0,3: MD,10.25
3: School,12016.0,3: MD,9.75
3: School,19447.0,3: MD,9.25
3: School,11560.0,3: MD,11.75
3: School,149696.0,2: AM,8.25
3: School,249495.0,2: AM,7.75
3: School,190537.0,2: AM,7.25
3: School,52690.0,2: AM,6.75
3: School,78970.0,2: AM,8.75
4: Escort,47056.0,3: MD,13.25
4: Escort,94401.0,3: MD,13.75
4: Escort,203796.0,3: MD,14.25
4: Escort,259217.0,3: MD,14.75
4: Escort,244757.0,3: MD,15.25
4: Escort,143832.0,4: PM,15.75
4: Escort,122792.0,4: PM,16.25
4: Escort,78503.0,4: PM,16.75
4: Escort,64247.0,4: PM,17.25
4: Escort,57492.0,4: PM,17.75
4: Escort,38542.0,5: EV,19.25
4: Escort,43002.0,4: PM,18.75
4: Escort,35294.0,5: EV,19.75
4: Escort,29324.0,5: EV,20.25
4: Escort,10330.0,5: EV,23.75
4: Escort,21164.0,5: EV,21.25
4: Escort,18975.0,5: EV,21.75
4: Escort,15721.0,5: EV,22.25
4: Escort,13754.0,5: EV,22.75
4: Escort,11999.0,5: EV,23.25
4: Escort,42642.0,3: MD,12.75
4: Escort,50389.0,4: PM,18.25
4: Escort,25040.0,5: EV,20.75
4: Escort,38527.0,3: MD,12.25
4: Escort,34187.0,3: MD,11.25
4: Escort,36361.0,3: MD,11.75
4: Escort,4434.3375367045,1: EA,0.25
4: Escort,3025.613435531506,1: EA,0.75
4: Escort,1774.2809709561295,1: EA,1.25
4: Escort,927.4795671240685,1: EA,1.75
4: Escort,472.90389532065836,1: EA,2.25
4: Escort,195.16610740414455,1: EA,3.25
4: Escort,204.467692912656,1: EA,3.75
4: Escort,323.6683646696339,1: EA,4.25
4: Escort,744.9224971375216,1: EA,4.75
4: Escort,5130.0,1: EA,5.25
4: Escort,268.1599322391834,1: EA,2.75
4: Escort,28276.0,2: AM,6.25
4: Escort,12482.0,1: EA,5.75
4: Escort,32107.0,3: MD,10.25
4: Escort,38787.0,3: MD,9.75
4: Escort,54166.0,3: MD,9.25
4: Escort,169435.0,2: AM,8.75
4: Escort,35210.0,3: MD,10.75
4: Escort,321878.0,2: AM,7.75
4: Escort,170905.0,2: AM,7.25
4: Escort,60187.0,2: AM,6.75
4: Escort,281624.0,2: AM,8.25
5: Individual Maintenance,72350.0,4: PM,17.75
5: Individual Maintenance,109999.0,3: MD,13.25
5: Individual Maintenance,110841.0,3: MD,13.75
5: Individual Maintenance,103109.0,3: MD,14.25
5: Individual Maintenance,102738.0,3: MD,14.75
5: Individual Maintenance,98462.0,3: MD,15.25
5: Individual Maintenance,90419.0,4: PM,15.75
5: Individual Maintenance,93402.0,4: PM,16.25
5: Individual Maintenance,81379.0,4: PM,16.75
5: Individual Maintenance,77387.0,4: PM,17.25
5: Individual Maintenance,71959.0,4: PM,18.25
5: Individual Maintenance,113342.0,3: MD,12.75
5: Individual Maintenance,61538.0,5: EV,19.25
5: Individual Maintenance,58981.0,5: EV,19.75
5: Individual Maintenance,51339.0,5: EV,20.25
5: Individual Maintenance,37291.0,5: EV,20.75
5: Individual Maintenance,26467.0,5: EV,21.25
5: Individual Maintenance,18661.0,5: EV,21.75
5: Individual Maintenance,13708.0,5: EV,22.25
5: Individual Maintenance,9679.0,5: EV,22.75
5: Individual Maintenance,7117.0,5: EV,23.25
5: Individual Maintenance,4911.0,5: EV,23.75
5: Individual Maintenance,67071.0,4: PM,18.75
5: Individual Maintenance,117134.0,3: MD,12.25
5: Individual Maintenance,129886.0,3: MD,11.75
5: Individual Maintenance,129545.0,3: MD,11.25
