Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
ASC for tour durations between 0 and 4,0 < duration_hours <= 4,-1.2831231602637378,-1.924567909531309,-2.225512317359708,-3.416517913969841,-1.683647770547251,-2.7053298845207574,-999.0,-999.0,-2.0916152211417676,-3.626956550723976,-999.0,-999.0,-3.3984770650807024,-999.0,-999.0,-999.0
ASC for tour durations between 4 and 8,4 < duration_hours <= 8,-1.5572647769702517,-1.7283769278527097,-1.9917536982119222,-3.8875707631878273,-2.377865529138202,-1.8485218200995321,-2.915846255078643,-3.448743589366353,-2.66753300662877,-4.6217083913122705,-999.0,-999.0,-3.235413979358595,-999.0,-999.0,-999.0
ASC for tour durations between 8 and 24,8 < duration_hours <= 24,-1.549577497843755,-1.5938020274938276,-3.9933762923689673,-2.4836870817634957,-2.453189692602164,-4.196537765779436,-999.0,-2.5550113662884626,-2.642688576619658,-2.09720292940376,-999.0,-999.0,-2.4860526622094556,-3.6240846033316156,-999.0,-999.0
