Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
ASC for tour durations between 0 and 4,0 < duration_hours <= 4,-0.7891166966786942,-3.4489991784276075,-999.0,-999.0,-1.8359818322038972,-2.755851997867662,-2.755851997867662,-999.0,-1.4810000240813468,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ASC for tour durations between 4 and 8,4 < duration_hours <= 8,-1.1590383686952699,-1.578352698082584,-1.3259399988791087,-4.104431322981405,-2.242484966348217,-999.0,-999.0,-4.104431322981405,-3.4112841727255945,-999.0,-3.166462921227066,-999.0,-999.0,-999.0,-999.0,-999.0
ASC for tour durations between 8 and 24,8 < duration_hours <= 24,-1.4214147407819655,-1.672820653742573,-2.157948061893761,-2.6434021828346683,-1.1327253820275,-3.4725445652252973,-999.0,-999.0,-3.4725445652252973,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
