model_selector,segment,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,adultschenrl,hh
tour_od_choice,work,0.148,0.499,0.088,0.499,0.088,0.499,0.088,0.499,0.088,0.499,0.499,0.247,0.148,0.148,0.148,0.148,0.148,0.088,0.258,0.258,0.258,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0,0,0,0,0,1
tour_od_choice,school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0.934,1,1,1,0
tour_od_choice,shop,0,0,0,0,0,0,0,0,0,0,0,1,0,0.414,0.414,0.414,0.414,0,0.63,0.63,0.63,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0,0,0,0,0,0
tour_od_choice,visit,0.247,0,0.106,0,0.106,0,0.106,0,0.106,0,0,0.309,0.247,0.247,0.247,0.247,0.247,0.106,0.173,0.173,0.173,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0,0,0,0,0,1
tour_od_choice,other,0.247,0,0.106,0,0.106,0,0.106,0,0.106,0,0,0.309,0.247,0.247,0.247,0.247,0.247,0.106,0.173,0.173,0.173,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0,0,0,0,0,1
trip,work,0.148,0.499,0.088,0.499,0.088,0.499,0.088,0.499,0.088,0.499,0.499,0.247,0.148,0.148,0.148,0.148,0.148,0.088,0.258,0.258,0.258,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0,0,0,0,0,1
trip,school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0.934,1,1,1,0
trip,shop,0,0,0,0,0,0,0,0,0,0,0,1,0,0.414,0.414,0.414,0.414,0,0.63,0.63,0.63,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0,0,0,0,0,0
trip,visit,0.247,0,0.106,0,0.106,0,0.106,0,0.106,0,0,0.309,0.247,0.247,0.247,0.247,0.247,0.106,0.173,0.173,0.173,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0,0,0,0,0,1
trip,other,0.247,0,0.106,0,0.106,0,0.106,0,0.106,0,0,0.309,0.247,0.247,0.247,0.247,0.247,0.106,0.173,0.173,0.173,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0,0,0,0,0,1
