Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
ASC for tour durations between 0 and 4,0 < duration_hours <= 4,-0.671353746040075,-2.0636632127858596,-999.0,-999.0,-2.2766574677361113,-2.2766574677361113,-2.9517638103621855,-999.0,-999.0,-999.0,-2.2586166393720815,-999.0,-999.0,-999.0,-999.0,-999.0
ASC for tour durations between 4 and 8,4 < duration_hours <= 8,-0.37106611037928916,-2.3270250505044,-3.4444072561498635,-3.4624335216677307,-2.7081740437703967,-3.613485677532572,-999.0,-999.0,-3.7652032887092806,-4.440309605296734,-999.0,-999.0,-3.8840343672881583,-999.0,-999.0,-999.0
ASC for tour durations between 8 and 24,8 < duration_hours <= 24,-0.7144453407281296,-1.9872736755942342,-3.3726770116086167,-5.486663192869855,-2.0665951786759105,-4.191255939258787,-4.104912547184302,-999.0,-2.249616508688622,-4.490173517538727,-4.489105514763462,-999.0,-3.5911584372594674,-3.847255119971581,-999.0,-999.0
