Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
ASC for tour durations between 0 and 4,0 < duration_hours <= 4,-1.820052295115933,-1.9858859256772827,-2.104110247555975,-2.5930596608342786,-2.1670064973204024,-1.714070332107039,-3.5664375987418535,-999.0,-2.2325829030403908,-3.6704101859343057,-999.0,-999.0,-3.880980013878519,-3.5854661570563153,-999.0,-999.0
ASC for tour durations between 4 and 8,4 < duration_hours <= 8,-3.8670857303028265,-3.182654846809417,-1.4371319740828354,-1.4185096828668984,-2.7325821487248887,-2.6422298206474566,-2.7151260862356437,-3.032964178498046,-2.620650966838938,-3.0003262899062135,-999.0,-4.054783829958792,-3.418671234060722,-4.054783829958792,-999.0,-4.054783829958792
ASC for tour durations between 8 and 24,8 < duration_hours <= 24,-2.0342894004314176,-2.5338161476774177,-2.5609136140402566,-2.1801021591820566,-1.8738489871893373,-999.0,-3.8761669849715092,-4.036810848815845,-3.027330996018737,-1.9899429876143384,-999.0,-999.0,-2.266729053241825,-2.1295326705369644,-999.0,-999.0
