purpose,outbound,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,2_48,3_48,4_48,5_48,6_48,7_48,8_48,9_48,10_48,11_48,12_48,13_48,14_48,15_48,16_48,17_48,18_48,19_48,20_48,21_48,22_48,23_48,24_48,25_48,26_48,27_48,28_48,29_48,30_48,31_48,32_48,33_48,34_48,35_48,36_48,37_48,38_48,39_48,40_48,41_48,42_48,43_48,44_48,45_48,46_48,47_48,48_48
purp0_perc,True,0.0,0.0,0.0,0.0,0.07,0.0,0.037,0.188,0.072,0.09,0.072,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.068,0.034,0.076,0.034,0.0,0.0,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.017333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp1_perc,True,0.00675,0.00675,0.00675,0.00675,0.009,0.156,0.028,0.051,0.029,0.029,0.061,0.0,0.0,0.0,0.041,0.0,0.022,0.014,0.001,0.001,0.028,0.0,0.0,0.0,0.001,0.035,0.007,0.059,0.027,0.0,0.0,0.0,0.007,0.0,0.017,0.023,0.057,0.009,0.007,0.0,0.038,0.129,0.014499999999999999,0.014499999999999999,0.014499999999999999,0.014499999999999999,0.014499999999999999,0.014499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp2_perc,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp3_perc,True,0.0,0.0,0.0,0.0,0.019,0.018,0.037,0.001,0.065,0.001,0.096,0.0,0.0,0.0,0.029,0.0,0.054,0.0,0.0,0.0,0.075,0.0,0.054,0.0,0.173,0.066,0.018,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.078,0.0,0.0,0.016,0.016,0.016,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp4_perc,True,0.00975,0.00975,0.00975,0.00975,0.016,0.02,0.034,0.018,0.026,0.026,0.025,0.018,0.035,0.005,0.057,0.089,0.034,0.023,0.001,0.0,0.027,0.005,0.023,0.003,0.031,0.025,0.024,0.0,0.012,0.0,0.019,0.0,0.058,0.014,0.019,0.009,0.061,0.012,0.013,0.057,0.011,0.025,0.014333333333333332,0.014333333333333332,0.014333333333333332,0.014333333333333332,0.014333333333333332,0.014333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purp0_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225,0.00225,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.033,0.097,0.0,0.067,0.025,0.016,0.065,0.0,0.0,0.009,0.056,0.0,0.039,0.033,0.023,0.033,0.069,0.033,0.0,0.028,0.007,0.021,0.0,0.057,0.023,0.0,0.0,0.033,0.009,0.016,0.017,0.029,0.087,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001
purp1_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225,0.00225,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.033,0.097,0.0,0.067,0.025,0.016,0.065,0.0,0.0,0.009,0.056,0.0,0.039,0.033,0.023,0.033,0.069,0.033,0.0,0.028,0.007,0.021,0.0,0.057,0.023,0.0,0.0,0.033,0.009,0.016,0.017,0.029,0.087,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001
purp2_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225,0.00225,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.033,0.097,0.0,0.067,0.025,0.016,0.065,0.0,0.0,0.009,0.056,0.0,0.039,0.033,0.023,0.033,0.069,0.033,0.0,0.028,0.007,0.021,0.0,0.057,0.023,0.0,0.0,0.033,0.009,0.016,0.017,0.029,0.087,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001
purp3_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225,0.00225,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.033,0.097,0.0,0.067,0.025,0.016,0.065,0.0,0.0,0.009,0.056,0.0,0.039,0.033,0.023,0.033,0.069,0.033,0.0,0.028,0.007,0.021,0.0,0.057,0.023,0.0,0.0,0.033,0.009,0.016,0.017,0.029,0.087,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001
purp4_perc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225,0.00225,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.033,0.097,0.0,0.067,0.025,0.016,0.065,0.0,0.0,0.009,0.056,0.0,0.039,0.033,0.023,0.033,0.069,0.033,0.0,0.028,0.007,0.021,0.0,0.057,0.023,0.0,0.0,0.033,0.009,0.016,0.017,0.029,0.087,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001
