party,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc
0,0,0,0,0,0
1,0.778,0.395,0.273,0.514,0.299
2,0.222,0.334,0.239,0.468,0.36
3,0,0.148,0.145,0,0.169
4,0,0.057,0.343,0,0.057
5,0,0.066,0,0.018,0.115
