purpose,avgDist
1: Work,3.674888859
2: University,2.412762136
3: School,3.003523168
4: Escort,3.917569054
5: Individual Maintenance,2.789116829
6: Individual Discretionary,2.88068398
7: Joint Maintenance,2.227713976
8: Joint Discretionary,2.52278965
9: Work-based,1.027530008
Total,3.084027805
