num_stops,purpose,Direction,value
4,3: School,Total,9806.230458
5,3: School,Total,7957.01813
6,3: School,Total,4428.695253
0,4: Escort,Total,277923.7395
1,4: Escort,Total,75842.3972
2,4: Escort,Total,28469.86833
3,4: Escort,Total,17093.23169
4,4: Escort,Total,11333.11539
5,4: Escort,Total,5412.339141
6,4: Escort,Total,7819.702293
0,5: Individual Maintenance,Total,243232.2408
1,5: Individual Maintenance,Total,143688.6931
2,5: Individual Maintenance,Total,77355.73183
3,5: Individual Maintenance,Total,40912.12006
4,5: Individual Maintenance,Total,22870.29594
5,5: Individual Maintenance,Total,10226.84575
6,5: Individual Maintenance,Total,7345.013321
0,6: Individual Discretionary,Total,330485.3643
1,6: Individual Discretionary,Total,141344.9701
2,6: Individual Discretionary,Total,76685.8279
3,6: Individual Discretionary,Total,31182.50243
4,6: Individual Discretionary,Total,24455.45965
5,6: Individual Discretionary,Total,9164.988519
6,6: Individual Discretionary,Total,12939.43569
0,7: Joint Maintenance,Total,36673.18488
1,7: Joint Maintenance,Total,19192.43716
2,7: Joint Maintenance,Total,5448.021269
3,7: Joint Maintenance,Total,3545.351515
4,7: Joint Maintenance,Total,738.8109797
5,7: Joint Maintenance,Total,339.6498979
6,7: Joint Maintenance,Total,92.297375
0,8: Joint Discretionary,Total,53750.42766
1,8: Joint Discretionary,Total,15884.44864
2,8: Joint Discretionary,Total,5694.755434
3,8: Joint Discretionary,Total,1617.475924
4,8: Joint Discretionary,Total,701.0816819
5,8: Joint Discretionary,Total,2050.994953
6,8: Joint Discretionary,Total,96.18682275
0,9: Work-based,Total,178463.496
1,9: Work-based,Total,30975.69533
2,9: Work-based,Total,6212.394969
3,9: Work-based,Total,2031.594353
4,9: Work-based,Total,814.30916
5,9: Work-based,Total,1481.719663
6,9: Work-based,Total,1851.598321
