District,Workers,WFH,%WFH
1: Downtown,26058.9251,3217.3528,0.123464525
2: Central,303834.3903,12183.1778,0.040098087
3: North City,443755.8513,28958.0653,0.065256751
4: South Suburban,196212.0894,8941.8758,0.045572502
5: East Suburban,225647.2757,14545.3875,0.064460727
6: North County West,205564.3006,12951.938,0.063006748
7: North County East,202901.7325,6426.22,0.031671588
8: East County,2409.9823,0,0
Total,1606384.547,87224.0172,0.054298342
