jointCat,HHSIZE,freq
0,2,86.78462899
1,2,12.15936857
2,2,1.056002434
0,3,86.36002663
1,3,12.69248119
2,3,0.947492187
0,4,82.52491952
1,4,15.76203441
2,4,1.713046064
0,5,79.81345513
1,5,19.10587596
2,5,1.080668909
0,Total,84.77487307
1,Total,14.06319285
2,Total,1.161934079
