tourdur,purpose,freq
9,6: Individual Discretionary,4852.673067
9,5: Individual Maintenance,974.777722
9,8: Joint Discretionary,0
9,7: Joint Maintenance,0
9,3: School,28113.41682
9,Total,92594.68321
9,2: University,5469.742638
9,1: Work,52053.39189
9.5,9: Work-based,0
9.5,4: Escort,2100.503342
9.5,6: Individual Discretionary,2942.352465
9.5,5: Individual Maintenance,1672.827836
9.5,8: Joint Discretionary,162.3297111
9.5,7: Joint Maintenance,0
9.5,3: School,21447.49519
9.5,Total,108815.3213
9.5,2: University,5396.166411
9.5,1: Work,75093.64639
10,9: Work-based,6.92468
10,4: Escort,1326.261987
10,6: Individual Discretionary,2092.453385
10,5: Individual Maintenance,2389.831864
10,8: Joint Discretionary,0
10,7: Joint Maintenance,0
10,3: School,22619.41242
10,Total,151837.8189
10,2: University,1739.441053
10,1: Work,121663.4935
10.5,9: Work-based,0
10.5,4: Escort,2788.165806
10.5,6: Individual Discretionary,4094.628667
10.5,5: Individual Maintenance,526.652965
10.5,8: Joint Discretionary,0
10.5,7: Joint Maintenance,0
10.5,3: School,13370.9639
10.5,Total,149725.3224
10.5,2: University,8027.838014
10.5,1: Work,120917.073
11,9: Work-based,0
11,4: Escort,775.6591133
11,6: Individual Discretionary,994.2323283
11,5: Individual Maintenance,962.3938063
11,8: Joint Discretionary,0
11,7: Joint Maintenance,0
11,3: School,10642.71336
11,Total,112160.2401
11,2: University,2840.04025
11,1: Work,95945.20122
11.5,9: Work-based,13.15808
11.5,4: Escort,1803.220497
11.5,6: Individual Discretionary,1538.442644
11.5,5: Individual Maintenance,617.8884005
11.5,8: Joint Discretionary,611.9953121
11.5,7: Joint Maintenance,27.17986112
11.5,3: School,7792.841284
11.5,Total,93844.58257
11.5,2: University,3355.542768
11.5,1: Work,78084.31372
12,9: Work-based,0
12,4: Escort,1796.017447
12,6: Individual Discretionary,1577.829876
12,5: Individual Maintenance,134.76298
12,8: Joint Discretionary,0
12,7: Joint Maintenance,0
12,3: School,11591.12381
12,Total,66941.61907
12,2: University,6764.511062
12,1: Work,45077.3739
12.5,9: Work-based,0
12.5,4: Escort,597.2059904
12.5,6: Individual Discretionary,1206.689283
12.5,5: Individual Maintenance,326.8391818
12.5,8: Joint Discretionary,0
12.5,7: Joint Maintenance,0
12.5,3: School,9213.493925
12.5,Total,50748.94249
12.5,2: University,3856.47637
12.5,1: Work,35548.23774
13,9: Work-based,0
13,4: Escort,591.289445
13,6: Individual Discretionary,341.3932388
13,5: Individual Maintenance,175.80604
13,8: Joint Discretionary,30.25812
13,7: Joint Maintenance,0
13,3: School,3177.429753
13,Total,29641.02287
13,2: University,885.8951
13,1: Work,24438.95118
13.5,9: Work-based,0
13.5,4: Escort,1151.24442
13.5,6: Individual Discretionary,629.4582205
13.5,5: Individual Maintenance,305.3146657
13.5,8: Joint Discretionary,0
13.5,7: Joint Maintenance,0
13.5,3: School,3940.868183
13.5,Total,41534.04777
13.5,2: University,1609.491941
13.5,1: Work,33897.67034
14,9: Work-based,0
14,4: Escort,19.1382
14,6: Individual Discretionary,62.18591441
14,5: Individual Maintenance,0
14,8: Joint Discretionary,0
14,7: Joint Maintenance,0
14,3: School,6736.484582
14,Total,32413.98317
14,2: University,2554.360149
14,1: Work,23041.81432
14.5,9: Work-based,0
14.5,4: Escort,52.3963
14.5,6: Individual Discretionary,59.94731333
14.5,5: Individual Maintenance,0
14.5,8: Joint Discretionary,0
14.5,7: Joint Maintenance,0
14.5,3: School,2379.161848
14.5,Total,13844.87692
14.5,2: University,324.70947
14.5,1: Work,11028.66199
15,9: Work-based,0
15,4: Escort,11.7244
15,6: Individual Discretionary,56.07036203
15,5: Individual Maintenance,1154.7624
15,8: Joint Discretionary,0
15,7: Joint Maintenance,0
15,3: School,377.1002037
15,Total,13920.27326
15,2: University,316.1517027
15,1: Work,12004.46419
15.5,9: Work-based,0
15.5,4: Escort,0
15.5,6: Individual Discretionary,457.51476
15.5,5: Individual Maintenance,1217.529433
15.5,8: Joint Discretionary,0
15.5,7: Joint Maintenance,0
15.5,3: School,2521.66491
15.5,Total,10343.07121
15.5,2: University,3467.890588
15.5,1: Work,2678.471524
16,9: Work-based,0
16,4: Escort,0
16,6: Individual Discretionary,21.6856
16,5: Individual Maintenance,0
16,8: Joint Discretionary,0
16,7: Joint Maintenance,0
16,3: School,16.2642
16,Total,6955.455088
16,2: University,1467.850594
16,1: Work,5449.654693
16.5,9: Work-based,0
16.5,4: Escort,0
16.5,6: Individual Discretionary,0
16.5,5: Individual Maintenance,0
16.5,8: Joint Discretionary,0
16.5,7: Joint Maintenance,0
16.5,3: School,0
16.5,Total,1750.022546
16.5,2: University,0
16.5,1: Work,1750.022546
17,9: Work-based,0
17,4: Escort,120.6244333
17,6: Individual Discretionary,11.60256
17,5: Individual Maintenance,0
17,8: Joint Discretionary,0
17,7: Joint Maintenance,0
17,3: School,26.15706
17,Total,1835.413256
17,2: University,13.01136
17,1: Work,1664.017842
17.5,9: Work-based,0
17.5,4: Escort,0
17.5,6: Individual Discretionary,77.826175
17.5,5: Individual Maintenance,0
17.5,8: Joint Discretionary,0
17.5,7: Joint Maintenance,0
17.5,3: School,17.98248
17.5,Total,1235.187105
17.5,2: University,520.4546
17.5,1: Work,618.9238497
18,9: Work-based,0
18,4: Escort,0
18,6: Individual Discretionary,0
18,5: Individual Maintenance,0
18,8: Joint Discretionary,0
18,7: Joint Maintenance,0
18,3: School,0
18,Total,204.76724
18,2: University,0
18,1: Work,204.76724
18.5,9: Work-based,0
18.5,4: Escort,0
18.5,6: Individual Discretionary,6.533266667
18.5,5: Individual Maintenance,0
18.5,8: Joint Discretionary,0
18.5,7: Joint Maintenance,0
18.5,3: School,0
18.5,Total,24.51574667
18.5,2: University,0
18.5,1: Work,17.98248
19,9: Work-based,0
19,4: Escort,0
19,6: Individual Discretionary,0
19,5: Individual Maintenance,0
