stop_purpose,tour_purpose,freq
01: Work,1: Work,81416.29522
02: University,1: Work,17845.3085
03: School,1: Work,1910.919414
04: Escort,1: Work,233640.011
05: Shopping,1: Work,188331.9087
06: Maintenance,1: Work,109245.987
07: Eating,1: Work,170315.3432
08: Visiting,1: Work,28006.58965
09: Other Discretionary,1: Work,99562.30595
10: Work-Related,1: Work,365848.6251
01: Work,2: University,9112.065172
02: University,2: University,92423.74735
03: School,2: University,0
04: Escort,2: University,37905.22705
05: Shopping,2: University,18941.94397
06: Maintenance,2: University,12422.79929
07: Eating,2: University,16625.43683
08: Visiting,2: University,6886.106327
09: Other Discretionary,2: University,16203.09553
10: Work-Related,2: University,4267.16728
01: Work,3: School,171.9048989
02: University,3: School,0
03: School,3: School,125332.6483
04: Escort,3: School,98929.93354
05: Shopping,3: School,25484.11958
06: Maintenance,3: School,16045.07357
07: Eating,3: School,24387.22011
08: Visiting,3: School,5188.98499
09: Other Discretionary,3: School,38202.34144
10: Work-Related,3: School,0
01: Work,4: Escort,4644.268318
02: University,4: Escort,719.5988043
03: School,4: Escort,10178.94927
04: Escort,4: Escort,131131.2966
05: Shopping,4: Escort,54447.42695
06: Maintenance,4: Escort,30218.40035
07: Eating,4: Escort,32411.4194
08: Visiting,4: Escort,13710.90795
09: Other Discretionary,4: Escort,7347.525997
10: Work-Related,4: Escort,4252.776792
01: Work,5: Individual Maintenance,5264.369057
02: University,5: Individual Maintenance,3402.918858
03: School,5: Individual Maintenance,2255.18446
04: Escort,5: Individual Maintenance,83517.70807
05: Shopping,5: Individual Maintenance,198593.1365
06: Maintenance,5: Individual Maintenance,114633.1409
07: Eating,5: Individual Maintenance,86678.17466
08: Visiting,5: Individual Maintenance,23605.63528
09: Other Discretionary,5: Individual Maintenance,30061.75853
10: Work-Related,5: Individual Maintenance,2893.318645
01: Work,6: Individual Discretionary,10528.30037
02: University,6: Individual Discretionary,9778.340114
03: School,6: Individual Discretionary,8053.011608
04: Escort,6: Individual Discretionary,93985.77184
05: Shopping,6: Individual Discretionary,128905.3916
06: Maintenance,6: Individual Discretionary,49579.48314
07: Eating,6: Individual Discretionary,90738.77301
08: Visiting,6: Individual Discretionary,39727.41988
09: Other Discretionary,6: Individual Discretionary,124266.367
10: Work-Related,6: Individual Discretionary,10706.15364
01: Work,7: Joint Maintenance,16.449575
02: University,7: Joint Maintenance,13.01136
03: School,7: Joint Maintenance,0
04: Escort,7: Joint Maintenance,1110.946428
05: Shopping,7: Joint Maintenance,17933.09376
06: Maintenance,7: Joint Maintenance,10799.96483
07: Eating,7: Joint Maintenance,9612.723585
08: Visiting,7: Joint Maintenance,1279.202565
09: Other Discretionary,7: Joint Maintenance,763.7402581
10: Work-Related,7: Joint Maintenance,0
01: Work,8: Joint Discretionary,0
02: University,8: Joint Discretionary,62.60338
03: School,8: Joint Discretionary,0
04: Escort,8: Joint Discretionary,1181.00109
05: Shopping,8: Joint Discretionary,16891.54617
06: Maintenance,8: Joint Discretionary,8042.938918
07: Eating,8: Joint Discretionary,6853.791763
08: Visiting,8: Joint Discretionary,2480.204642
09: Other Discretionary,8: Joint Discretionary,5650.964615
10: Work-Related,8: Joint Discretionary,0
01: Work,9: Work-based,161013.6566
02: University,9: Work-based,0
03: School,9: Work-based,0
04: Escort,9: Work-based,2319.47311
05: Shopping,9: Work-based,5974.209734
06: Maintenance,9: Work-based,3860.963182
07: Eating,9: Work-based,21310.84977
08: Visiting,9: Work-based,1673.827705
09: Other Discretionary,9: Work-based,476.9270317
10: Work-Related,9: Work-based,33568.2164
