esc_type,chauffeur,freq_out,freq_inb
Ride Share,1: Full-Time Worker,11857.161,6549.1627
Pure Escort,1: Full-Time Worker,9315.6986,10091.1179
Ride Share,2: Part-Time Worker,2646.5141,2693.3288
Pure Escort,2: Part-Time Worker,2479.2813,2241.7468
Ride Share,3: University Student,848.1936,2029.6761
Pure Escort,3: University Student,3105.6744,4193.3218
Ride Share,4: Non-Worker,0,0
Pure Escort,4: Non-Worker,14552.3501,16562.7663
Ride Share,5: Retiree,0,0
Pure Escort,5: Retiree,1045.2794,34.6072
Ride Share,Total,15351.8687,11272.1676
Pure Escort,Total,30498.2838,33123.56
