tour_composition,NUMBER_HH,freq
All Adult,2,49.3601273
All Children,2,50
Mixed,2,24.655672
Total,2,38.89547182
All Adult,3,0.639872704
All Children,3,0
Mixed,3,17.46384206
Total,3,7.766359338
All Adult,4,0
All Children,4,0
Mixed,4,7.47734792
Total,4,3.167399827
All Adult,5,0
All Children,5,0
Mixed,5,0.403138025
Total,5,0.170769011
