PERTYPE,active_persons,tours,tour_rate
1: Full-Time Worker,1101028.621,1560753.217,1.417541004
2: Part-Time Worker,188217.4242,318295.0324,1.691102903
3: University Student,253608.6825,410246.6055,1.617636279
4: Non-Worker,253344.8849,429207.7993,1.694164062
5: Retiree,193209.8522,260892.6829,1.350307347
6: Driving Aged Student,91854.76659,115853.7909,1.261271409
7: Non-Driving Aged Student,350505.6413,467353.4485,1.333369263
8: Child To Young for School,130972.74,184284.2753,1.407042987
Total,2562742.613,3746886.852,1.462061322
