purpose,avgDist
4: Escort,4.356593159
5: Individual Maintenance,4.780009806
6: Individual Discretionary,5.492830894
7: Joint Maintenance,7.42970528
8: Joint Discretionary,6.459657016
9: Work-based,3.412074869
Total,4.911169175
