Intersection Type,Road FC \ Crossroad FC,1,2,3,4,5,6,7,8,9
Signal - 4 Leg,1,0.35,0.35,0.39,0.5,0.51,0.56,0.63,0.54,0.47
Signal - 4 Leg,2,0.35,0.35,0.39,0.5,0.51,0.56,0.63,0.54,0.47
Signal - 4 Leg,3,0.33,0.33,0.37,0.48,0.5,0.56,0.63,0.52,0.45
Signal - 4 Leg,4,0.22,0.22,0.26,0.38,0.39,0.47,0.58,0.43,0.35
Signal - 4 Leg,5,0.22,0.22,0.26,0.38,0.4,0.48,0.59,0.43,0.35
Signal - 4 Leg,6,0.16,0.16,0.2,0.3,0.32,0.4,0.53,0.36,0.27
Signal - 4 Leg,7,0.09,0.09,0.11,0.18,0.2,0.27,0.4,0.23,0.16
Signal - 4 Leg,8,0.19,0.19,0.23,0.34,0.36,0.44,0.57,0.4,0.31
Signal - 4 Leg,9,0.26,0.26,0.3,0.41,0.43,0.51,0.61,0.47,0.39
Signal - 3 Leg,1,0.46,0.46,0.52,0.65,0.67,0.74,0.82,0.7,0.62
Signal - 3 Leg,2,0.46,0.46,0.52,0.65,0.67,0.74,0.82,0.7,0.62
Signal - 3 Leg,3,0.41,0.41,0.46,0.6,0.62,0.7,0.8,0.66,0.57
Signal - 3 Leg,4,0.28,0.28,0.32,0.46,0.49,0.58,0.71,0.53,0.43
Signal - 3 Leg,5,0.26,0.26,0.3,0.44,0.46,0.56,0.69,0.51,0.4
Signal - 3 Leg,6,0.19,0.19,0.23,0.35,0.37,0.46,0.62,0.41,0.32
Signal - 3 Leg,7,0.11,0.11,0.13,0.21,0.23,0.31,0.46,0.26,0.19
Signal - 3 Leg,8,0.22,0.22,0.27,0.4,0.42,0.51,0.66,0.46,0.36
Signal - 3 Leg,9,0.31,0.31,0.36,0.5,0.52,0.61,0.74,0.56,0.46
Signal - 2 Leg,1,0.47,0.47,0.53,0.67,0.68,0.76,0.84,0.72,0.63
Signal - 2 Leg,2,0.47,0.47,0.53,0.67,0.68,0.76,0.84,0.72,0.63
Signal - 2 Leg,3,0.42,0.42,0.47,0.62,0.64,0.72,0.82,0.68,0.58
Signal - 2 Leg,4,0.28,0.28,0.33,0.47,0.5,0.59,0.73,0.54,0.44
Signal - 2 Leg,5,0.27,0.27,0.31,0.45,0.47,0.57,0.71,0.52,0.42
Signal - 2 Leg,6,0.19,0.19,0.23,0.36,0.38,0.47,0.63,0.42,0.32
Signal - 2 Leg,7,0.11,0.11,0.13,0.22,0.24,0.32,0.47,0.27,0.19
Signal - 2 Leg,8,0.23,0.23,0.27,0.41,0.43,0.53,0.68,0.47,0.37
Signal - 2 Leg,9,0.32,0.32,0.37,0.51,0.53,0.63,0.76,0.58,0.47
4-Way Stop,1,0.34,0.34,0.37,0.44,0.46,0.55,0.62,0.62,0.53
4-Way Stop,2,0.34,0.34,0.37,0.44,0.46,0.55,0.62,0.62,0.53
4-Way Stop,3,0.33,0.33,0.37,0.44,0.47,0.58,0.67,0.67,0.36
4-Way Stop,4,0.31,0.31,0.35,0.44,0.48,0.63,0.79,0.79,0.48
4-Way Stop,5,0.26,0.26,0.29,0.37,0.39,0.51,0.64,0.64,0.29
4-Way Stop,6,0.18,0.18,0.23,0.31,0.36,0.48,0.81,0.9,0.32
4-Way Stop,7,0.08,0.08,0.11,0.16,0.18,0.32,0.48,0.48,0.16
4-Way Stop,8,0.08,0.08,0.11,0.16,0.18,0.32,0.48,0.48,0.16
4-Way Stop,9,0.29,0.29,0.33,0.42,0.48,0.63,0.79,0.79,0.63
