RegionType,TG_L_Households,TG_L_Ag/Min/Constr,TG_L_Retail,TG_L_Government,TG_L_Manufacturing,TG_L_Transp/Utilities,TG_L_Wholesale,TG_L_Other,TG_M_Households,TG_M_Ag/Min/Constr,TG_M_Retail,TG_M_Government,TG_M_Manufacturing,TG_M_Transp/Utilities,TG_M_Wholesale,TG_M_Other,TG_H_Households,TG_H_Ag/Min/Constr,TG_H_Retail,TG_H_Government,TG_H_Manufacturing,TG_H_Transp/Utilities,TG_H_Wholesale,TG_H_Other,TA_L_Households,TA_L_Ag/Min/Constr,TA_L_Retail,TA_L_Government,TA_L_Manufacturing,TA_L_Transp/Utilities,TA_L_Wholesale,TA_L_Other,TA_M_Households,TA_M_Ag/Min/Constr,TA_M_Retail,TA_M_Government,TA_M_Manufacturing,TA_M_Transp/Utilities,TA_M_Wholesale,TA_M_Other,TA_H_Households,TA_H_Ag/Min/Constr,TA_H_Retail,TA_H_Government,TA_H_Manufacturing,TA_H_Transp/Utilities,TA_H_Wholesale,TA_H_Other
8.00,0.0195,0.083,0.0664,0.004,0.0353,0.231,0.0393,0.0091,0.011,0.04,0.0166,0.037,0.0575,0,0.065,0.0141,0.002,0.085,0.0047,0.01,0.0391,0.088,0.0633,0.003,0.0195,0.083,0.0664,0.004,0.0353,0.186,0.0393,0.0091,0.011,0.044,0.0166,0.038,0.0575,0.17,0.065,0.0141,0.002,0.088,0.0047,0.006,0.0391,0.073,0.0633,0.003
7.00,0.0195,0.083,0.0664,0.004,0.0353,0.231,0.0393,0.0091,0.011,0.04,0.0166,0.037,0.0575,0,0.065,0.0141,0.002,0.085,0.0047,0.01,0.0391,0.088,0.0633,0.003,0.0195,0.083,0.0664,0.004,0.0353,0.186,0.0393,0.0091,0.011,0.044,0.0166,0.038,0.0575,0.17,0.065,0.0141,0.002,0.088,0.0047,0.006,0.0391,0.073,0.0633,0.003
6.00,0.0195,0.083,0.2135,0.004,0.0353,0.231,0.0393,0.0091,0.011,0.0228,0.0056,0.037,0.0575,0.02,0.065,0.0141,0.002,0.0126,0.0114,0.01,0.0391,0.0142,0.0633,0.003,0.0195,0.083,0.2126,0.004,0.0353,0.186,0.0393,0.0091,0.011,0.038,0.0078,0.038,0.0575,0.0274,0.065,0.0141,0.002,0.0188,0.012,0.006,0.0391,0.0141,0.0633,0.003
5.00,0.0195,0.0245,0.1935,0.004,0.0353,0.056,0.0393,0.0091,0.011,0.0084,0.0195,0.0007,0.0575,0.0444,0.065,0.0141,0.0002,0.0125,0.0047,0.0002,0.0391,0.0773,0.0633,0.003,0.0195,0.0245,0.1995,0.004,0.0353,0.0473,0.0393,0.0091,0.011,0.0167,0.0195,0.0009,0.0575,0.0335,0.065,0.0141,0.0003,0.0125,0.0052,0.0002,0.0391,0.0586,0.0633,0.003
4.00,0.0195,0.0256,0.2136,0.004,0.0353,0.0412,0.0393,0.0091,0.011,0.0067,0.0124,0.037,0.0575,0.1098,0.065,0.0141,0.0004,0.0197,0.0114,0.0001,0.0391,0.0553,0.0633,0.003,0.0195,0.0512,0.2204,0.004,0.0353,0.0467,0.0393,0.0091,0.011,0.0067,0.0165,0.038,0.0575,0.0704,0.065,0.0141,0.0003,0.0236,0.0145,0.0001,0.0391,0.0402,0.0633,0.003
3.00,0.0195,0.083,0.2923,0.004,0.0353,0.231,0.0393,0.0091,0.011,0.04,0.1521,0.037,0.0575,0.0417,0.065,0.0141,0.003,0.0118,0.0495,0.01,0.0391,0.0222,0.0633,0.003,0.0195,0.083,0.2923,0.004,0.0353,0.186,0.0393,0.0091,0.011,0.0353,0.1521,0.038,0.0575,0.0417,0.065,0.0141,0.0141,0.0118,0.0495,0.006,0.0391,0.0222,0.0633,0.003
2.00,0.0195,0.083,0.0303,0.004,0.0353,0.231,0.0393,0.0091,0.011,0.04,0.0602,0.037,0.0575,0.1488,0.065,0.0141,0.002,0.046,0.0322,0.01,0.0391,0.0421,0.0633,0.003,0.0195,0.083,0.0303,0.004,0.0353,0.186,0.0393,0.0091,0.011,0.044,0.0602,0.038,0.0575,0.1488,0.065,0.0141,0.002,0.046,0.0644,0.006,0.0391,0.0421,0.0633,0.003
1.00,0.0195,0.066442857,0.153714286,0.004,0.0353,0.178885714,0.0393,0.0091,0.011,0.028271429,0.040428571,0.031814286,0.0575,0.0521,0.065,0.0141,0.001657143,0.038942857,0.016942857,0.007185714,0.0391,0.0553,0.0633,0.003,0.0195,0.0701,0.155414286,0.004,0.0353,0.146285714,0.0393,0.0091,0.011,0.032671429,0.041328571,0.0327,0.0575,0.094542857,0.065,0.0141,0.003242857,0.041242857,0.022142857,0.004328571,0.0391,0.046171429,0.0633,0.003
