Purpose,OutboundPeriod,ReturnPeriod,Percent
4,8,20,0.00035
4,8,21,0.00003
4,8,22,0
4,8,23,0.00097
4,8,24,0.00055
4,8,25,0.00016
4,8,26,0.00037
4,8,27,0.00034
4,8,28,0.00045
4,8,29,0.00014
4,8,30,0
4,8,31,0
4,8,32,0
4,8,33,0
4,8,34,0
4,8,35,0
4,8,36,0
4,8,37,0
4,8,38,0
4,8,39,0
4,8,40,0
4,9,1,0
4,9,2,0
4,9,3,0
4,9,4,0
4,9,5,0
4,9,6,0
4,9,7,0
4,9,8,0
4,9,9,0.00586
4,9,10,0.01313
4,9,11,0.00335
4,9,12,0.00145
4,9,13,0.00094
4,9,14,0.00247
4,9,15,0.00003
4,9,16,0.00086
4,9,17,0.00178
4,9,18,0.00173
4,9,19,0.00007
4,9,20,0.00309
4,9,21,0.00285
4,9,22,0.0007
4,9,23,0.00132
4,9,24,0.0042
4,9,25,0.00077
4,9,26,0.00024
4,9,27,0.00034
4,9,28,0.00005
4,9,29,0.00019
4,9,30,0
4,9,31,0.00003
4,9,32,0
4,9,33,0
4,9,34,0
4,9,35,0
4,9,36,0
4,9,37,0
4,9,38,0
4,9,39,0
4,9,40,0
4,10,1,0
4,10,2,0
4,10,3,0
4,10,4,0
4,10,5,0
4,10,6,0
4,10,7,0
4,10,8,0
4,10,9,0
4,10,10,0.00104
4,10,11,0.00303
4,10,12,0.00122
4,10,13,0.0007
4,10,14,0.00303
4,10,15,0.00053
4,10,16,0.00001
4,10,17,0.00324
4,10,18,0
4,10,19,0.00001
4,10,20,0.00003
4,10,21,0
4,10,22,0
4,10,23,0
4,10,24,0.00008
4,10,25,0
4,10,26,0.00017
4,10,27,0.00003
4,10,28,0
4,10,29,0.00006
4,10,30,0.00198
4,10,31,0
4,10,32,0
4,10,33,0
4,10,34,0
4,10,35,0
4,10,36,0
4,10,37,0
4,10,38,0
4,10,39,0
4,10,40,0
4,11,1,0
4,11,2,0
4,11,3,0
4,11,4,0
4,11,5,0
4,11,6,0
4,11,7,0
4,11,8,0
4,11,9,0
4,11,10,0
4,11,11,0.00018
4,11,12,0.00373
4,11,13,0.00012
4,11,14,0.00421
4,11,15,0.0005
4,11,16,0.0002
4,11,17,0.00022
4,11,18,0.00129
4,11,19,0.0014
4,11,20,0.00002
4,11,21,0.00006
4,11,22,0.00048
4,11,23,0
4,11,24,0.00002
4,11,25,0
4,11,26,0
4,11,27,0
4,11,28,0.00004
4,11,29,0.00018
4,11,30,0.00031
4,11,31,0
4,11,32,0
4,11,33,0
4,11,34,0
4,11,35,0.00007
4,11,36,0
4,11,37,0
4,11,38,0
4,11,39,0
4,11,40,0
4,12,1,0
4,12,2,0
4,12,3,0
4,12,4,0
4,12,5,0
4,12,6,0
4,12,7,0
4,12,8,0
4,12,9,0
4,12,10,0
4,12,11,0
4,12,12,0.00137
4,12,13,0.00013
4,12,14,0.00071
4,12,15,0.00003
4,12,16,0.00154
4,12,17,0
4,12,18,0
4,12,19,0.00001
4,12,20,0.0001
4,12,21,0
4,12,22,0.00002
4,12,23,0
4,12,24,0
4,12,25,0.0002
4,12,26,0
4,12,27,0
4,12,28,0.00001
4,12,29,0.00004
4,12,30,0.00004
4,12,31,0.00021
4,12,32,0.00006
4,12,33,0.00004
4,12,34,0
4,12,35,0.00001
4,12,36,0
4,12,37,0
4,12,38,0
4,12,39,0
4,12,40,0
4,13,1,0
4,13,2,0
4,13,3,0
4,13,4,0
4,13,5,0
4,13,6,0
4,13,7,0
4,13,8,0
4,13,9,0
4,13,10,0
4,13,11,0
4,13,12,0
4,13,13,0.00112
4,13,14,0.00573
4,13,15,0.00021
4,13,16,0.00017
4,13,17,0
4,13,18,0
4,13,19,0
4,13,20,0
4,13,21,0
4,13,22,0.00018
4,13,23,0.00147
4,13,24,0
4,13,25,0
4,13,26,0
4,13,27,0
4,13,28,0
4,13,29,0
4,13,30,0.00004
4,13,31,0.00009
4,13,32,0
4,13,33,0
4,13,34,0
4,13,35,0
4,13,36,0
4,13,37,0
4,13,38,0
4,13,39,0
4,13,40,0
4,14,1,0
4,14,2,0
4,14,3,0
4,14,4,0
4,14,5,0
4,14,6,0
4,14,7,0
4,14,8,0
4,14,9,0
4,14,10,0
4,14,11,0
4,14,12,0
4,14,13,0
4,14,14,0.00408
4,14,15,0.00651
4,14,16,0.00443
4,14,17,0.00018
4,14,18,0.00037
4,14,19,0.00159
4,14,20,0
4,14,21,0
4,14,22,0.00081
4,14,23,0
4,14,24,0
4,14,25,0.00004
4,14,26,0.00017
4,14,27,0
4,14,28,0.00092
4,14,29,0.00259
4,14,30,0.00007
4,14,31,0
4,14,32,0
4,14,33,0.00005
4,14,34,0
4,14,35,0
4,14,36,0
4,14,37,0
4,14,38,0
4,14,39,0
4,14,40,0
4,15,1,0
4,15,2,0
4,15,3,0
4,15,4,0
4,15,5,0
