USER_Accou,Status,Score,Match_addr,LongLabel,ShortLabel,Subregion,Region,Postal,PostalExt,CntryName,X,Y,ExInfo,StrucType,StrucDet,IN_Neighbo,USER_Sleep,USER_Total,USER_Large,USER_Class,USER_Theat,USER_Banqu,USER_Numbe,USER_Mobil,USER_AAA_R,USER_TMD_A,MGRA,TAZ
Manchester Grand Hyatt San Diego,M,96.89000000000,"1 Market Pl, San Diego, California, 92101","1 Market Pl, San Diego, CA, 92101, USA",1 Market Pl,San Diego County,California,92101,7714,United States,-117.16790875300,32.71024303170,DOWNTOWN,,,Downtown,1628.00000000000,140001.00000000000,34000.00000000000,2100.00000000000,3700.00000000000,2400.00000000000,77.00000000000,3 Star,4 Diamond,Yes,10648,1680
Margaritaville Hotel San Diego Gaslamp Quarter,M,96.10000000000,"435 6th Ave, San Diego, California, 92101","435 6th Ave, San Diego, CA, 92101, USA",435 6th Ave,San Diego County,California,92101,7007,United States,-117.15918738300,32.70979439030,DOWNTOWN | DOWNTOWN,Commercial,Lodging,Downtown,235.00000000000,13000.00000000000,3332.00000000000,144.00000000000,290.00000000000,160.00000000000,8.00000000000,,,Yes,3326,1893
Legacy Resort Hotel & Spa,M,96.19000000000,"875 Hotel Cir S, San Diego, California, 92108","875 Hotel Cir S, San Diego, CA, 92108, USA",875 Hotel Cir S,San Diego County,California,92108,3406,United States,-117.17079221100,32.75983045470,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,126.00000000000,15000.00000000000,6000.00000000000,360.00000000000,680.00000000000,400.00000000000,5.00000000000,,,Yes,11361,1693
"Marriott Vacation Club, San Diego",M,96.69000000000,"701 A St, San Diego, California, 92101","701 A St, San Diego, CA, 92101, USA",701 A St,San Diego County,California,92101,4611,United States,-117.15791626700,32.71885053380,DOWNTOWN,,,Downtown,264.00000000000,5665.00000000000,1809.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,3 Star,3 Diamond,Yes,3410,1927
Omni San Diego Hotel,M,96.69000000000,"675 L St, San Diego, California, 92101","675 L St, San Diego, CA, 92101, USA",675 L St,San Diego County,California,92101,7022,United States,-117.15870760200,32.70725316490,DOWNTOWN,Commercial,Lodging,Downtown,511.00000000000,27000.00000000000,9266.00000000000,495.00000000000,800.00000000000,660.00000000000,21.00000000000,4 Star,4 Diamond,Yes,707,1891
Marriott Marquis San Diego Marina,M,96.95000000000,"333 W Harbor Dr, San Diego, California, 92101","333 W Harbor Dr, San Diego, CA, 92101, USA",333 W Harbor Dr,San Diego County,California,92101,7709,United States,-117.16591838600,32.70970348860,DOWNTOWN,,,Downtown,1360.00000000000,280000.00000000000,35631.00000000000,2268.00000000000,3718.00000000000,2540.00000000000,72.00000000000,,4 Diamond,Yes,10649,1734
Pendry San Diego,M,95.87000000000,"550 J St, San Diego, California, 92101","550 J St, San Diego, CA, 92101, USA",550 J St,San Diego County,California,92101,7020,United States,-117.15928620300,32.70946021540,DOWNTOWN,,,Downtown,317.00000000000,14500.00000000000,8400.00000000000,580.00000000000,900.00000000000,700.00000000000,10.00000000000,,,Yes,2860,1868
Paradise Point,M,95.30000000000,"1404 Vacation Rd, San Diego, California, 92109","1404 Vacation Rd, San Diego, CA, 92109, USA",1404 Vacation Rd,San Diego County,California,92109,7905,United States,-117.23955224100,32.77522236000,BEACHES | MISSION BAY BEACHES,,,Mission Bay/Beaches,462.00000000000,80000.00000000000,14874.00000000000,1000.00000000000,1725.00000000000,950.00000000000,30.00000000000,3 Star,4 Diamond,Yes,1845,769
Porto Vista Hotel,M,96.89000000000,"1835 Columbia St, San Diego, California, 92101","1835 Columbia St, San Diego, CA, 92101, USA",1835 Columbia St,San Diego County,California,92101,2505,United States,-117.16760943500,32.72438891820,DOWNTOWN,Commercial,Lodging,Downtown,189.00000000000,7500.00000000000,1200.00000000000,45.00000000000,80.00000000000,200.00000000000,3.00000000000,3 Star,3 Diamond,Yes,1998,1702
Residence Inn by Marriott San Diego Downtown Bayfront,M,96.93000000000,"900 Bayfront Ct, San Diego, California, 92101","900 Bayfront Ct, San Diego, CA, 92101, USA",900 Bayfront Ct,San Diego County,California,92101,3007,United States,-117.17172956000,32.71676926530,DOWNTOWN,Commercial,Lodging,Downtown,147.00000000000,5534.00000000000,1670.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,Yes,4171,1611
