13,3
14,3
15,3
17,3
28,3
30,3
35,3
39,3
42,3
146,3
207,3
246,3
365,3
376,3
378,3
386,3
391,3
392,3
393,3
395,3
407,3
410,3
413,3
420,3
427,3
433,3
444,3
518,5
583,3
632,3
766,3
773,3
810,7
811,7
898,7
915,7
952,7
980,7
1029,4
1104,5
1132,5
1159,5
1168,5
1198,4
1221,5
1228,5
1250,5
1255,3
1278,3
1294,5
1338,5
1357,3
1381,5
1447,5
1457,5
1476,5
1477,3
1493,3
1520,5
1552,5
1595,4
1599,4
1605,4
1610,4
1621,4
1630,4
1631,4
1634,4
1635,4
1636,4
1638,4
1639,4
1641,4
1642,4
1644,4
1648,4
1651,4
1653,4
1654,4
1655,4
1656,4
1657,4
1661,4
1668,4
1669,5
1670,5
1671,5
1672,5
1673,4
1674,4
1676,4
1679,4
1680,4
1681,5
1682,4
1683,5
1684,5
1685,5
1686,5
1687,5
1688,5
1690,4
1691,4
1697,4
1698,3
1702,4
1703,3
1704,3
1707,5
1708,5
1710,5
1711,5
1712,5
1713,4
1714,4
1717,4
1720,5
1723,5
1724,5
1725,5
1726,5
1727,5
1728,5
1729,5
1730,5
1731,5
1732,5
1733,4
1734,4
1737,3
1738,4
1739,3
1740,4
1741,5
1742,5
1743,5
1744,5
1745,3
1746,5
1747,5
1748,5
1749,5
1750,5
1754,5
1755,5
1757,3
1758,3
1766,3
1769,4
1771,5
1772,5
1773,5
1774,5
1775,5
1776,5
1777,5
1778,5
1779,3
1785,3
1791,5
1792,5
1795,5
1797,4
1798,5
1799,5
1800,5
1804,3
1805,4
1806,3
1807,3
1808,4
1809,5
1810,5
1811,3
1812,3
1813,3
1814,3
1815,3
1816,3
1817,3
1818,4
1819,5
1820,3
1821,4
1823,3
1826,5
1827,5
1828,5
1829,5
1830,5
1831,3
1834,3
1835,3
1836,5
1837,3
1838,4
1839,4
1841,5
1842,4
1843,5
1844,5
1845,4
1846,5
1847,5
1848,5
1849,5
1850,5
1853,3
1854,3
1856,3
1857,3
1858,3
1860,3
1862,3
1863,3
1866,3
1867,5
1868,4
1869,5
1870,5
1871,4
1872,5
1873,5
1874,5
1875,5
1876,5
1877,5
1878,4
1879,3
1882,4
1883,4
1891,4
1893,4
1894,5
1895,5
1896,5
1897,5
1898,4
1899,5
1900,5
1901,5
1902,5
1912,3
1916,4
1918,4
1919,4
1920,4
1921,5
1922,4
1923,5
1924,5
1925,4
1926,5
1927,5
1928,5
1932,3
1933,3
1935,3
1937,4
1938,4
1939,4
1940,5
1941,4
1942,5
1943,4
1944,5
1945,5
1946,5
1947,5
1949,3
1950,4
1961,4
1962,4
1963,4
1964,4
1965,4
1966,4
1967,4
1968,4
1969,4
1970,4
1973,4
1977,4
1978,4
1979,4
1980,4
1981,4
1982,4
1983,4
1984,4
1985,4
1986,4
1992,4
1996,4
2001,4
2002,4
2003,4
2004,4
2005,4
2006,4
2007,4
2008,4
2009,4
2010,4
2011,4
2017,4
2018,4
2019,4
2020,4
2021,4
2022,4
2023,4
2024,4
2027,5
2030,4
2032,3
2034,4
2035,4
2036,4
2037,4
2038,4
2039,4
2040,4
2041,4
2050,4
2052,4
2053,4
2054,4
2055,4
2056,4
2057,4
2058,4
2059,4
2064,3
2065,4
2066,4
2067,3
2069,4
2070,4
2075,4
2076,4
2077,4
2078,4
2079,4
2080,4
2081,4
2082,4
2097,4
2098,4
2099,4
2106,4
2108,4
2109,4
2112,4
2114,4
2118,3
2133,3
2134,3
2179,3
2265,3
2308,3
2309,3
2327,3
2349,3
2351,3
2363,3
2383,3
2446,3
2687,3
2709,3
2717,3
2756,3
2781,3
2947,3
2983,3
3013,3
3030,3
3042,3
3063,10
3079,10
3081,3
3092,3
3127,3
3137,3
3177,3
3203,10
3216,10
3284,10
3316,3
3368,3
3463,3
3940,3
3984,3
4020,3
4100,3
4184,3
4248,3
4267,3
