Facility_name, DA_Factor, S2_Factor, S3_Factor, TRK_L_Factor, TRK_M_Factor, TRK_H_Factor
I-5,1,1,0,1,1.03,2.33
SR-11,1,1,1,1,1.03,2.33
I-15,1,1,0,1,1.03,2.33
SR-15,1,1,0,1,1.03,2.33
SR-78,1,1,0,1,1.03,2.33
SR-94,1,1,0,1,1.03,2.33
SR-125,1,1,1,1,1.03,2.33
I-805,1,1,0,1,1.03,2.33
