Time,dtaPeriod,TOD,Factors
3:00 AM,1,1,0.022707931
3:05 AM,2,1,0.023107606
3:10 AM,3,1,0.02389105
3:15 AM,4,1,0.024663557
3:20 AM,5,1,0.025506653
3:25 AM,6,1,0.026422328
3:30 AM,7,1,0.027787389
3:35 AM,8,1,0.029871269
3:40 AM,9,1,0.031936259
3:45 AM,10,1,0.032961297
3:50 AM,11,1,0.032764442
3:55 AM,12,1,0.031767242
4:00 AM,13,1,0.03196012
4:05 AM,14,1,0.034335306
4:10 AM,15,1,0.037721611
4:15 AM,16,1,0.041546366
4:20 AM,17,1,0.04542978
4:25 AM,18,1,0.049813286
4:30 AM,19,1,0.055670222
4:35 AM,20,1,0.063741281
4:40 AM,21,1,0.072042004
4:45 AM,22,1,0.077135381
4:50 AM,23,1,0.078512372
4:55 AM,24,1,0.07870525
5:00 AM,25,2,0.124417663
5:05 AM,26,2,0.138455492
5:10 AM,27,2,0.156715362
5:15 AM,28,2,0.175916306
5:20 AM,29,2,0.193661219
5:25 AM,30,2,0.210833958
5:30 AM,31,3,0.140043591
5:35 AM,32,3,0.156738058
5:40 AM,33,3,0.172490139
5:45 AM,34,3,0.180070039
5:50 AM,35,3,0.178441953
5:55 AM,36,3,0.172216221
6:00 AM,37,4,0.137586379
6:05 AM,38,4,0.148214656
6:10 AM,39,4,0.163143547
6:15 AM,40,4,0.175514046
6:20 AM,41,4,0.184222264
6:25 AM,42,4,0.191319108
6:30 AM,43,5,0.153059199
6:35 AM,44,5,0.162104056
6:40 AM,45,5,0.170697693
6:45 AM,46,5,0.17400498
6:50 AM,47,5,0.172191253
6:55 AM,48,5,0.167942819
7:00 AM,49,6,0.157990145
7:05 AM,50,6,0.161557316
7:10 AM,51,6,0.166875737
7:15 AM,52,6,0.170477081
7:20 AM,53,6,0.171768833
7:25 AM,54,6,0.171330888
7:30 AM,55,7,0.164587808
7:35 AM,56,7,0.167094746
7:40 AM,57,7,0.169991596
7:45 AM,58,7,0.170318961
7:50 AM,59,7,0.167086171
7:55 AM,60,7,0.160920717
8:00 AM,61,8,0.166946166
8:05 AM,62,8,0.165241562
8:10 AM,63,8,0.166580778
8:15 AM,64,8,0.16804612
8:20 AM,65,8,0.167824181
8:25 AM,66,8,0.165361193
8:30 AM,67,9,0.167600269
8:35 AM,68,9,0.167876425
8:40 AM,69,9,0.169740475
8:45 AM,70,9,0.169816195
8:50 AM,71,9,0.166101457
8:55 AM,72,9,0.158865179
9:00 AM,73,10,0.169732162
9:05 AM,74,10,0.166094581
9:10 AM,75,10,0.166236693
9:15 AM,76,10,0.166948502
9:20 AM,77,10,0.166441759
9:25 AM,78,10,0.164546303
9:30 AM,79,11,0.166921201
9:35 AM,80,11,0.168030972
9:40 AM,81,11,0.170331328
9:45 AM,82,11,0.170299511
9:50 AM,83,11,0.166041784
9:55 AM,84,11,0.158375204
10:00 AM,85,12,0.16577717
10:05 AM,86,12,0.16397183
10:10 AM,87,12,0.165894336
10:15 AM,88,12,0.167794657
10:20 AM,89,12,0.16847062
10:25 AM,90,12,0.168091387
10:30 AM,91,13,0.163715066
10:35 AM,92,13,0.165855424
10:40 AM,93,13,0.169003843
10:45 AM,94,13,0.169934257
10:50 AM,95,13,0.167818881
10:55 AM,96,13,0.163672529
11:00 AM,97,14,0.161762534
11:05 AM,98,14,0.162910829
11:10 AM,99,14,0.166422781
11:15 AM,100,14,0.169340601
11:20 AM,101,14,0.17020775
11:25 AM,102,14,0.169355505
11:30 AM,103,15,0.163383281
11:35 AM,104,15,0.165510079
11:40 AM,105,15,0.16853959
11:45 AM,106,15,0.16994265
11:50 AM,107,15,0.168208421
11:55 AM,108,15,0.16441598
12:00 PM,109,16,0.16075633
12:05 PM,110,16,0.162704899
12:10 PM,111,16,0.1669309
12:15 PM,112,16,0.169684791
12:20 PM,113,16,0.170308204
12:25 PM,114,16,0.169614876
12:30 PM,115,17,0.164667418
12:35 PM,116,17,0.166340914
12:40 PM,117,17,0.168836038
12:45 PM,118,17,0.169466119
12:50 PM,119,17,0.167275326
12:55 PM,120,17,0.163414185
1:00 PM,121,18,0.161175728
1:05 PM,122,18,0.16282323
1:10 PM,123,18,0.166725874
1:15 PM,124,18,0.169398728
1:20 PM,125,18,0.170111741
1:25 PM,126,18,0.169764699
1:30 PM,127,19,0.161485013
1:35 PM,128,19,0.164568351
1:40 PM,129,19,0.169173577
1:45 PM,130,19,0.170656504
1:50 PM,131,19,0.168812735
1:55 PM,132,19,0.16530382
2:00 PM,133,20,0.156578409
2:05 PM,134,20,0.159978455
2:10 PM,135,20,0.166890523
2:15 PM,136,20,0.171518858
2:20 PM,137,20,0.172566262
2:25 PM,138,20,0.172467494
2:30 PM,139,21,0.156409701
2:35 PM,140,21,0.162700086
2:40 PM,141,21,0.170530477
2:45 PM,142,21,0.173019731
2:50 PM,143,21,0.17066032
2:55 PM,144,21,0.166679685
3:00 PM,145,22,0.157625891
3:05 PM,146,22,0.161327584
3:10 PM,147,22,0.16831134
3:15 PM,148,22,0.171772676
3:20 PM,149,22,0.171446407
3:25 PM,150,22,0.169516103
3:30 PM,151,23,0.16188361
3:35 PM,152,23,0.16537411
3:40 PM,153,23,0.170508236
3:45 PM,154,23,0.17095576
3:50 PM,155,23,0.167660397
3:55 PM,156,23,0.163617887
4:00 PM,157,24,0.162344345
4:05 PM,158,24,0.16448249
4:10 PM,159,24,0.168699496
4:15 PM,160,24,0.169968598
4:20 PM,161,24,0.168494164
4:25 PM,162,24,0.166010908
4:30 PM,163,25,0.164497606
4:35 PM,164,25,0.166122348
4:40 PM,165,25,0.16928146
4:45 PM,166,25,0.169344768
4:50 PM,167,25,0.166843381
4:55 PM,168,25,0.163910437
5:00 PM,169,26,0.161433456
5:05 PM,170,26,0.164465836
5:10 PM,171,26,0.169415659
5:15 PM,172,26,0.170577293
5:20 PM,173,26,0.168613154
5:25 PM,174,26,0.165494602
5:30 PM,175,27,0.171911441
5:35 PM,176,27,0.170209524
5:40 PM,177,27,0.169462006
5:45 PM,178,27,0.167222507
5:50 PM,179,27,0.16307625
5:55 PM,180,27,0.158118271
6:00 PM,181,28,0.168565364
6:05 PM,182,28,0.167675785
6:10 PM,183,28,0.169135363
6:15 PM,184,28,0.168612771
6:20 PM,185,28,0.16527476
6:25 PM,186,28,0.160735957
6:30 PM,187,29,0.177055416
6:35 PM,188,29,0.173270922
6:40 PM,189,29,0.170599702
6:45 PM,190,29,0.166387661
6:50 PM,191,29,0.159976986
6:55 PM,192,29,0.152709313
7:00 PM,193,30,0.173234492
7:05 PM,194,30,0.170166683
7:10 PM,195,30,0.169720606
