mgra,taz,lightTruckTripsProds,lightTruckTripsAttrs,medTruckTripsProds,medTruckTripsAttrs,heavyTruckTripsProds,heavyTruckTripsAttrs,CommercialVehicleTripsProds,CommercialVehicleTripsAttrs,ExternalInternalTripsProds,ExternalInternalTripsAttrs,ExternalExternalTripsProds,ExternalExternalTripsAttrs
14860,13,0.99839652,0.99841231,0.99684995,0.99692398,0.99770361,0.99755853,0.99492478,0.99492478,0.99294633,0.99294633,0.5,0.5
14869,13,0.00160353,0.00158775,0.003150024,0.003076043,0.002296402,0.002441475,0.00507521,0.00507521,0.007053712,0.007053712,0.5,0.5
15743,14,0.007084115,0.006835622,0.008405476,0.007701198,0.001435343,0.00251954,0.002740703,0.002740703,0,0,0.11111111,0.11111111
15744,14,0.24514745,0.24811716,0.22737053,0.23611821,0.30992472,0.29888389,0.28307548,0.28307548,0.29591838,0.29591838,0.11111111,0.11111111
15745,14,0.12922853,0.12728855,0.14910296,0.14284064,0.09454646,0.10162386,0.10011059,0.10011059,0.081632651,0.081632651,0.11111111,0.11111111
15746,14,0.36517063,0.37011361,0.3433021,0.35719395,0.47544509,0.45597646,0.447696,0.447696,0.48979592,0.48979592,0.11111111,0.11111111
15747,14,0.072189048,0.070853621,0.087613195,0.08314798,0.043949988,0.049011953,0.067490861,0.067490861,0.071428575,0.071428575,0.11111111,0.11111111
15748,14,0.10860019,0.10606625,0.10687495,0.10061064,0.046008307,0.055634107,0.060363386,0.060363386,0.040816326,0.040816326,0.11111111,0.11111111
15749,14,0.002024033,0.001953035,0.002401565,0.002200342,0.000410098,0.000719869,0.000783058,0.000783058,0,0,0.11111111,0.11111111
15750,14,0.07055597,0.068772152,0.07492926,0.070186988,0.028279958,0.035630282,0.037739933,0.037739933,0.020408163,0.020408163,0.11111111,0.11111111
15751,14,0,0,0,0,0,0,0,0,0,0,0.11111111,0.11111111
15300,15,0.99049962,0.99037981,0.98556238,0.9856028,0.98585677,0.98650789,0.98627245,0.98627245,0.9855178,0.9855178,0.5,0.5
15303,15,0.009500388,0.009620219,0.014437562,0.014397217,0.014143196,0.013492125,0.013727574,0.013727574,0.014482173,0.014482173,0.5,0.5
15301,16,0,0,0,0,0,0,0,0,0,0,0.33333334,0.33333334
15307,16,0.090008162,0.10782124,0.56072336,0.41991138,0.21004263,0.17814127,0.50258523,0.50258523,0.66091233,0.66091233,0.33333334,0.33333334
15308,16,0.90999186,0.89217877,0.43927664,0.58008868,0.7899574,0.8218587,0.4974148,0.4974148,0.33908769,0.33908769,0.33333334,0.33333334
15737,17,0.14967649,0.14848852,0.1395735,0.13752927,0.092049524,0.10631517,0.10173452,0.10173452,0.048780486,0.048780486,0.071428575,0.071428575
15738,17,0.066298485,0.067513272,0.054047048,0.057014775,0.093879588,0.087287158,0.078700297,0.078700297,0.073170736,0.073170736,0.071428575,0.071428575
15739,17,0.024657076,0.024190053,0.024204655,0.023264281,0.006887485,0.011249704,0.011517115,0.011517115,0,0,0.071428575,0.071428575
15740,17,0.28385448,0.27930158,0.3241958,0.31328967,0.22211745,0.24093488,0.17991462,0.17991462,0.097560972,0.097560972,0.071428575,0.071428575
15741,17,0.008219026,0.008063352,0.008068218,0.007754761,0.002295828,0.003749901,0.003839039,0.003839039,0,0,0.071428575,0.071428575
15742,17,0.010307705,0.01011247,0.013700037,0.013167778,0.004559145,0.005639014,0.015197793,0.015197793,0.024390243,0.024390243,0.071428575,0.071428575
15752,17,0.037886549,0.037992463,0.03709453,0.037342541,0.037382893,0.037234664,0.045919143,0.045919143,0.048780486,0.048780486,0.071428575,0.071428575
15755,17,0.055225536,0.055826537,0.054018516,0.055298187,0.069026209,0.065094575,0.076893404,0.076893404,0.097560972,0.097560972,0.071428575,0.071428575
15756,17,0.10634156,0.10762141,0.10400292,0.10671899,0.13690451,0.12831421,0.13864143,0.13864143,0.19512194,0.19512194,0.071428575,0.071428575
15758,17,0.087882675,0.089512147,0.089464195,0.09274511,0.13342825,0.12082857,0.16625158,0.16625158,0.21951218,0.21951218,0.071428575,0.071428575
15759,17,0.027578846,0.027879989,0.023394493,0.024174765,0.032823745,0.031595651,0.028792791,0.028792791,0.024390243,0.024390243,0.071428575,0.071428575
15760,17,0.07862702,0.079608299,0.066149376,0.068646915,0.097323328,0.092912011,0.06651853,0.06651853,0.073170736,0.073170736,0.071428575,0.071428575
15762,17,0.020547565,0.02015838,0.020170545,0.019386902,0.005739571,0.009374753,0.009597596,0.009597596,0,0,0.071428575,0.071428575
15765,17,0.042896997,0.043731511,0.041916188,0.043666042,0.065582469,0.059469726,0.076482132,0.076482132,0.097560972,0.097560972,0.071428575,0.071428575
15794,18,0.016200179,0.015521468,0.0279254,0.025049374,0.009789731,0.010973109,0.00996302,0.00996302,0.007604563,0.007604563,0.11111111,0.11111111
15795,18,0.026511177,0.025400484,0.032808308,0.029429395,0.004570848,0.00824375,0.009425131,0.009425131,0,0,0.11111111,0.11111111
15796,18,0.045262598,0.043755297,0.031765107,0.028916605,0.009683771,0.012547391,0.018836817,0.018836817,0.01901141,0.01901141,0.11111111,0.11111111
15797,18,0.015038654,0.014408605,0.032074966,0.028771577,0.02002432,0.019885551,0.009658215,0.009658215,0.011406845,0.011406845,0.11111111,0.11111111
15798,18,0.091099903,0.087283239,0.11555737,0.10365617,0.016354056,0.028726185,0.037321236,0.037321236,0.011406845,0.011406845,0.11111111,0.11111111
15799,18,0.007696794,0.007374334,0.009524993,0.008544018,0.00132702,0.002393347,0.002736328,0.002736328,0,0,0.11111111,0.11111111
15800,18,0.79049391,0.79888219,0.74081886,0.76708883,0.93692321,0.9148373,0.90932292,0.90932292,0.9505704,0.9505704,0.11111111,0.11111111
15801,18,0.000855199,0.00081937,0.001058333,0.000949335,0.000147447,0.000265927,0.000304036,0.000304036,0,0,0.11111111,0.11111111
15802,18,0.006841594,0.006554964,0.008466661,0.007594683,0.001179574,0.002127419,0.002432292,0.002432292,0,0,0.11111111,0.11111111
15753,19,0,0,0,0,0,0,0,0,0,0,0.06666667,0.06666667
15754,19,0.091499507,0.091344312,0.091517776,0.091187268,0.076619856,0.084059939,0.081528462,0.081528462,0,0,0.06666667,0.06666667
15761,19,0.14972647,0.1494725,0.14975636,0.14921553,0.12537794,0.13755263,0.13341022,0.13341022,0,0,0.06666667,0.06666667
15764,19,0.02495441,0.024912084,0.024959395,0.024869256,0.020896321,0.022925438,0.022235034,0.022235034,0,0,0.06666667,0.06666667
