TAZ,MGRA
453,15118
454,16487
455,17189
456,16826
457,14817
458,14898
459,14900
460,17405
461,17289
462,17400
463,14902
464,14897
465,17319
466,14851
467,17292
468,17295
469,17197
470,16854
471,17159
472,16977
473,16978
474,14855
475,21801
476,17019
477,16980
478,18739
479,17001
480,17312
481,16672
482,15092
483,17406
484,15070
485,16688
486,16738
487,17408
488,18763
489,17161
490,17320
491,18626
492,18675
494,15085
495,14849
496,14822
497,15126
498,17200
499,14805
500,17033
501,14910
502,14907
503,17199
504,14908
505,15087
506,17411
507,17414
508,17175
509,17297
510,18734
511,17331
512,21661
513,14590
514,14995
515,17299
516,17315
517,17463
518,17464
519,14588
520,15119
521,14838
522,21037
523,17425
524,14997
525,17423
526,14856
527,18681
528,16677
529,14998
530,17361
531,14780
532,17343
533,15038
534,17242
535,15094
536,17284
537,17276
538,17381
539,15012
540,17341
541,17487
542,14598
543,14570
544,14797
545,14798
546,14631
547,17367
548,14782
549,14975
550,17439
551,21693
552,14596
553,14687
554,14679
555,14976
556,17037
557,17347
558,17371
559,17427
560,17428
561,14632
562,15002
563,14623
564,21690
565,17467
566,14787
567,17387
568,20877
569,14633
570,17266
571,14629
572,14683
573,14971
574,14634
575,14685
576,17355
577,15027
578,17378
579,17278
580,14580
581,14790
582,18668
583,17469
584,15063
585,14643
586,17450
587,17453
588,14651
589,14799
590,17253
591,17567
592,14660
593,17454
594,14493
595,17358
596,16635
597,18670
598,14700
599,17570
600,17264
601,14542
602,17568
603,14792
604,19100
605,14667
606,14658
607,15021
608,15017
609,14513
610,17458
611,18651
612,14496
613,17550
614,17530
615,15015
616,20998
617,14526
618,15030
619,17505
620,15052
621,14974
622,14532
623,17558
624,17504
625,19103
626,14705
627,17441
628,17473
629,16988
630,14556
631,14988
632,14719
633,17497
634,14723
635,14540
636,14476
637,18647
638,17494
639,14382
640,15046
641,15058
642,17577
643,14481
644,17503
645,17858
646,14474
647,17856
648,15020
649,17579
650,17500
651,17877
652,17547
653,17539
654,14739
655,17589
656,17887
657,15035
658,14674
659,14993
660,14559
661,17665
662,17865
663,17581
664,14710
665,17480
666,17512
667,17523
668,14483
669,17520
670,14715
671,18276
672,17596
673,18343
674,14489
675,14392
676,17664
677,17514
678,17819
679,17525
680,14386
681,17816
682,18765
683,17653
684,17654
685,17655
686,14994
687,15025
688,17604
689,17618
690,17811
691,14552
692,17802
693,14426
694,17795
695,17629
696,17656
697,17835
698,17615
699,17614
700,18300
701,19113
702,14716
703,18304
704,19054
705,14742
706,17659
707,17625
708,17820
709,14110
710,18653
711,18743
712,17660
713,17870
714,16713
715,17904
716,17834
717,14390
718,17635
719,18747
720,18622
721,14091
722,17926
723,20958
724,17671
725,14434
726,14436
727,19990
728,17799
729,17932
730,17673
731,14112
732,17943
733,14399
734,17940
736,17744
737,17804
738,20894
739,17633
740,17797
741,19088
742,14405
743,17746
744,14114
745,17841
746,17822
747,14281
748,17895
749,14408
750,18720
751,14411
752,18285
753,17823
754,19071
755,14094
756,19996
757,18691
758,17902
759,17824
760,18751
761,14100
762,17849
763,17950
764,17892
765,14096
766,17645
767,18726
768,18351
769,17638
770,18282
771,17921
772,17780
773,14070
774,19119
775,17953
776,17845
777,18718
778,18360
779,18778
780,17941
781,17753
782,14283
783,14350
784,17899
785,17675
786,14106
787,18770
788,19973
789,17690
790,14076
791,17648
792,17789
793,14290
794,19999
795,17650
796,17954
797,19057
798,14080
799,18178
800,17855
801,17959
802,19998
803,19068
804,17641
805,18774
806,17973
807,18694
808,14288
809,14295
810,21381
811,20918
812,18352
813,14086
814,17678
815,14171
816,18363
817,14358
818,14300
819,19120
820,18214
821,18816
822,18289
823,14312
824,17963
825,19073
826,18170
827,18773
828,14322
829,14356
830,17964
831,14164
832,18291
833,18702
834,18213
835,14310
836,17769
837,19144
838,18832
839,17765
840,18793
841,14325
842,18181
843,14172
844,18209
845,18338
846,19121
847,18216
848,18295
849,14361
850,18208
851,18780
852,19095
853,18818
854,14173
855,14342
856,17695
857,18369
858,17755
859,14343
860,17756
861,18627
862,18364
863,18807
864,18822
865,18782
866,18221
867,18223
868,17979
869,19145
870,18788
871,18314
872,14363
873,14184
874,17972
875,19123
876,19132
877,18403
878,19130
879,18408
880,14364
881,18184
882,14175
883,17686
884,14187
885,18629
886,18634
887,17735
888,18784
889,18396
890,17980
891,18837
892,18358
893,14181
894,18323
895,14346
896,18824
897,18228
898,18606
899,18224
900,14369
901,19153
902,19147
903,19138
904,14195
905,19140
906,19175
907,18187
908,18412
909,19155
910,19974
911,18324
912,18867
913,18870
914,18801
915,18331
