Time,dtaPeriod,TOD,ExternalInternalTrips,lightTruckTrips,medTruckTrips,heavyTruckTrips,CommercialVehicleTrips,ExternalExternalTrips
3:00 AM,1,1,0.009347049,0.008238138,0.008238138,0.008238138,0.008238138,0.008238138
3:05 AM,2,1,0.009511564,0.008383135,0.008383135,0.008383135,0.008383135,0.008383135
3:10 AM,3,1,0.009834045,0.008667358,0.008667358,0.008667358,0.008667358,0.008667358
3:15 AM,4,1,0.010152025,0.008947614,0.008947614,0.008947614,0.008947614,0.008947614
3:20 AM,5,1,0.010499061,0.009253478,0.009253478,0.009253478,0.009253478,0.009253478
3:25 AM,6,1,0.010875971,0.009585673,0.009585673,0.009585673,0.009585673,0.009585673
3:30 AM,7,1,0.011437858,0.010080899,0.010080899,0.010080899,0.010080899,0.010080899
3:35 AM,8,1,0.012295626,0.010836903,0.010836903,0.010836903,0.010836903,0.010836903
3:40 AM,9,1,0.013145618,0.011586054,0.011586054,0.011586054,0.011586054,0.011586054
3:45 AM,10,1,0.013567545,0.011957925,0.011957925,0.011957925,0.011957925,0.011957925
3:50 AM,11,1,0.013486515,0.011886508,0.011886508,0.011886508,0.011886508,0.011886508
3:55 AM,12,1,0.013076047,0.011524737,0.011524737,0.011524737,0.011524737,0.011524737
4:00 AM,13,1,0.01315544,0.011594711,0.011594711,0.011594711,0.011594711,0.011594711
4:05 AM,14,1,0.014133115,0.012456397,0.012456397,0.012456397,0.012456397,0.012456397
4:10 AM,15,1,0.015526988,0.013684904,0.013684904,0.013684904,0.013684904,0.013684904
4:15 AM,16,1,0.017101335,0.015072475,0.015072475,0.015072475,0.015072475,0.015072475
4:20 AM,17,1,0.018699828,0.016481327,0.016481327,0.016481327,0.016481327,0.016481327
4:25 AM,18,1,0.020504169,0.018071605,0.018071605,0.018071605,0.018071605,0.018071605
4:30 AM,19,1,0.022915003,0.020196424,0.020196424,0.020196424,0.020196424,0.020196424
4:35 AM,20,1,0.026237217,0.023124498,0.023124498,0.023124498,0.023124498,0.023124498
4:40 AM,21,1,0.029653964,0.026135891,0.026135891,0.026135891,0.026135891,0.026135891
4:45 AM,22,1,0.031750502,0.027983701,0.027983701,0.027983701,0.027983701,0.027983701
4:50 AM,23,1,0.0323173,0.028483256,0.028483256,0.028483256,0.028483256,0.028483256
4:55 AM,24,1,0.032396693,0.028553229,0.028553229,0.028553229,0.028553229,0.028553229
5:00 AM,25,1,0.035879506,0.029803738,0.029803738,0.029803738,0.039640286,0.029803738
5:05 AM,26,1,0.039927728,0.033166442,0.033166442,0.033166442,0.044112831,0.033166442
5:10 AM,27,1,0.0451935,0.037540519,0.037540519,0.037540519,0.049930545,0.037540519
5:15 AM,28,1,0.05073066,0.042140026,0.042140026,0.042140026,0.056048093,0.042140026
5:20 AM,29,1,0.055847929,0.046390747,0.046390747,0.046390747,0.061701739,0.046390747
5:25 AM,30,1,0.060800195,0.050504406,0.050504406,0.050504406,0.067173086,0.050504406
5:30 AM,31,1,0.042013077,0.055690754,0.055690754,0.055690754,0.04461881,0.055690754
5:35 AM,32,1,0.047021417,0.062329597,0.062329597,0.062329597,0.049937776,0.062329597
5:40 AM,33,1,0.051747042,0.068593684,0.068593684,0.068593684,0.054956493,0.068593684
5:45 AM,34,1,0.054021012,0.071607963,0.071607963,0.071607963,0.057371499,0.071607963
5:50 AM,35,1,0.053532586,0.070960526,0.070960526,0.070960526,0.05685278,0.070960526
5:55 AM,36,1,0.051664866,0.068484756,0.068484756,0.068484756,0.054869221,0.068484756
6:00 AM,37,2,0.026141412,0.02889314,0.02889314,0.02889314,0.012770295,0.01775437
6:05 AM,38,2,0.028160785,0.031125078,0.031125078,0.031125078,0.013756776,0.01912586
6:10 AM,39,2,0.030997274,0.034260145,0.034260145,0.034260145,0.015142424,0.021052309
