Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
ASC for tour durations between 0 and 4,0 < duration_hours <= 4,-1.2037353125293453,-2.601057519152754,-2.1066352496031784,-4.358655089430798,-1.5954783717880598,-2.8644368187764724,-3.8864473681846765,-999.0,-1.8530163344932644,-4.358655089430798,-999.0,-999.0,-3.1847768593465817,-999.0,-999.0,-999.0
ASC for tour durations between 4 and 8,4 < duration_hours <= 8,-1.7150951165440376,-2.278358384041872,-2.741828963765047,-2.342859601995185,-1.9713279887092705,-2.4566768428910395,-4.101633079047592,-3.0790449935615913,-2.189181830110876,-2.9379349483058554,-4.024840421455564,-999.0,-2.8779345891160126,-3.491478038747112,-999.0,-999.0
ASC for tour durations between 8 and 24,8 < duration_hours <= 24,-999.0,-999.0,-1.6619272375708347,-999.0,-999.0,-3.305425517541347,-3.830544083450454,-999.0,-0.8602135516622258,-999.0,-999.0,-2.2068132197865244,-2.9473953358856986,-2.091717965550952,-999.0,-3.151868276164312
