Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
ASC for tour durations between 0 and 4,0 < duration_hours <= 4,-1.3778810960959136,-2.081181590687414,-2.776644407423823,-3.9168662148555615,-1.4934434620097508,-3.306922455730064,-2.91178204710852,-3.563577026742808,-2.2844525457800846,-3.4754389211971413,-4.208805091022357,-5.712882353246434,-3.230960147062083,-5.028715052383939,-999.0,-999.0
ASC for tour durations between 4 and 8,4 < duration_hours <= 8,-2.353161160439816,-2.225986080345286,-2.421837038220042,-2.245647816380909,-2.097939433633476,-2.337778126549412,-3.025229861069195,-3.797400425421182,-2.3570749857995734,-3.1628158404699365,-3.568630128918044,-6.225205048288381,-2.5444789757120145,-3.2203658594185236,-3.9856531840510705,-4.83891068716849
ASC for tour durations between 8 and 24,8 < duration_hours <= 24,-2.15997972741569,-2.548809059687231,-2.2774648840311564,-2.4622254753690944,-2.1325145324721837,-2.8322820488462517,-2.859780886479532,-2.895310869249963,-2.7258381070132,-3.3476583967262346,-3.924435067356389,-999.0,-2.9746045637831813,-1.94201462248108,-999.0,-4.280547449644028
