distbin,freq
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,2
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,2
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,2
52,0
53,0
54,2
55,1
56,1
57,1
58,2
59,1
60,2
61,7
62,1
63,14
64,0
65,3
66,10
67,2
68,6
69,0
70,9
71,3
72,8
73,10
74,16
75,8
76,11
77,9
78,11
79,3
80,23
81,14
82,11
83,6
84,9
85,4
86,4
87,8
88,6
89,0
90,4
91,6
92,1
93,0
94,5
95,2
96,1
97,15
98,2
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,0
107,3
108,2
109,0
110,0
111,0
112,0
113,0
114,0
115,0
