esc_type,child_type,freq_out,freq_inb
Ride Share,6: Driving Aged Student,0,0
Pure Escort,6: Driving Aged Student,4116.446208,1868.066672
No Escort,6: Driving Aged Student,18958.26789,21206.64743
Ride Share,7: Non-Driving Aged Student,904.4233723,0
Pure Escort,7: Non-Driving Aged Student,8773.129239,954.7339915
No Escort,7: Non-Driving Aged Student,239343.8506,248066.6692
Ride Share,8: Child too Young for School,767.2630286,647.125481
Pure Escort,8: Child too Young for School,847.2239077,735.4263065
No Escort,8: Child too Young for School,61929.53544,62161.47059
