distbin,purpose,freq
29,8: Joint Discretionary,0
3,8: Joint Discretionary,30192.0399
30,8: Joint Discretionary,0
31,8: Joint Discretionary,22.74106773
32,8: Joint Discretionary,0
33,8: Joint Discretionary,88.27799075
34,8: Joint Discretionary,0
35,8: Joint Discretionary,0
36,8: Joint Discretionary,0
37,8: Joint Discretionary,0
38,8: Joint Discretionary,0
39,8: Joint Discretionary,0
4,8: Joint Discretionary,11124.81514
40,8: Joint Discretionary,0
41,8: Joint Discretionary,849.9916211
5,8: Joint Discretionary,6259.409615
6,8: Joint Discretionary,29234.88549
7,8: Joint Discretionary,2850.538272
8,8: Joint Discretionary,629.6412804
9,8: Joint Discretionary,894.6773218
1,9: Work-based,50590.93607
10,9: Work-based,4508.160556
11,9: Work-based,1760.406766
12,9: Work-based,42.14629701
13,9: Work-based,78.49613168
14,9: Work-based,155.9120603
15,9: Work-based,9002.912585
16,9: Work-based,0
17,9: Work-based,421.7521407
18,9: Work-based,72.03764498
19,9: Work-based,0
2,9: Work-based,26676.47873
20,9: Work-based,315.7663315
21,9: Work-based,13.03583456
22,9: Work-based,0
23,9: Work-based,110.8317957
24,9: Work-based,0
25,9: Work-based,13.03583456
26,9: Work-based,0
27,9: Work-based,0
28,9: Work-based,0
29,9: Work-based,11.72500156
3,9: Work-based,9463.839432
30,9: Work-based,0
31,9: Work-based,0
32,9: Work-based,0
33,9: Work-based,0
34,9: Work-based,0
35,9: Work-based,0
36,9: Work-based,135.6223523
37,9: Work-based,0
38,9: Work-based,0
39,9: Work-based,0
4,9: Work-based,2775.776823
40,9: Work-based,0
41,9: Work-based,0
5,9: Work-based,707.6632938
6,9: Work-based,4495.896172
7,9: Work-based,497.0487269
8,9: Work-based,50.9859671
9,9: Work-based,2889.969281
