esc_type,chauffeur,freq_out,freq_inb
Ride Share,1: Full-Time Worker,454.150351,454.8699126
Pure Escort,1: Full-Time Worker,3708.980695,876.8399454
Ride Share,2: Part-Time Worker,0,0
Pure Escort,2: Part-Time Worker,3984.2876,3984.2876
Ride Share,3: University Student,0,0
Pure Escort,3: University Student,540.8891354,270.4445677
Ride Share,4: Non-Worker,0,0
Pure Escort,4: Non-Worker,223.7671763,1792.886154
