inb_escort_type,out_escort_type,freq
Ride Share,Ride Share,187.0163334
Ride Share,Pure Escort,176.9966337
Ride Share,No Escort,0
Pure Escort,Ride Share,0
Pure Escort,Pure Escort,637.7329363
Pure Escort,No Escort,0
No Escort,Ride Share,0
No Escort,Pure Escort,587.3609062
No Escort,No Escort,143026.186
