body_type,age,fuel_type,freq
SUV,8.0,PEV,143
SUV,9.0,Diesel,226
SUV,9.0,Gas,13066
SUV,9.0,Hybrid,122
SUV,9.0,PEV,9
SUV,10.0,Diesel,190
SUV,10.0,Gas,8155
SUV,10.0,Hybrid,107
SUV,10.0,PEV,7
SUV,11.0,Diesel,128
SUV,11.0,Gas,8781
SUV,11.0,Hybrid,142
SUV,11.0,PEV,11
SUV,12.0,Diesel,113
SUV,12.0,Gas,6116
SUV,12.0,Hybrid,83
SUV,12.0,PEV,6
SUV,13.0,Diesel,96
SUV,13.0,Gas,6666
SUV,13.0,Hybrid,84
SUV,13.0,PEV,5
SUV,14.0,Diesel,45
SUV,14.0,Gas,4713
SUV,14.0,Hybrid,117
SUV,14.0,PEV,1
SUV,15.0,Diesel,25
SUV,15.0,Gas,3482
SUV,15.0,Hybrid,98
SUV,16.0,Diesel,36
SUV,16.0,Gas,6107
SUV,16.0,Hybrid,300
SUV,16.0,PEV,1
SUV,17.0,Diesel,24
SUV,17.0,Gas,6462
SUV,17.0,Hybrid,229
SUV,17.0,PEV,5
SUV,18.0,Diesel,31
SUV,18.0,Gas,5473
SUV,18.0,Hybrid,270
SUV,18.0,PEV,2
SUV,19.0,Diesel,52
SUV,19.0,Gas,5632
SUV,19.0,Hybrid,34
SUV,19.0,PEV,1
SUV,20.0,Diesel,295
SUV,20.0,Gas,27723
SUV,20.0,PEV,14
VAn,1.0,Diesel,29
VAn,1.0,Gas,29
VAn,1.0,PEV,3
VAn,2.0,Diesel,124
VAn,2.0,Gas,266
VAn,2.0,Hybrid,3
VAn,2.0,PEV,34
VAn,3.0,Diesel,150
VAn,3.0,Gas,337
VAn,3.0,Hybrid,5
VAn,4.0,Diesel,139
VAn,4.0,Gas,541
VAn,5.0,Diesel,194
VAn,5.0,Gas,816
VAn,6.0,Diesel,82
VAn,6.0,Gas,417
VAn,6.0,Hybrid,1
VAn,7.0,Diesel,136
VAn,7.0,Gas,550
VAn,7.0,Hybrid,1
VAn,8.0,Diesel,159
VAn,8.0,Gas,488
VAn,8.0,Hybrid,4
VAn,9.0,Diesel,132
VAn,9.0,Gas,603
VAn,9.0,Hybrid,2
VAn,9.0,PEV,1
VAn,10.0,Diesel,86
VAn,10.0,Gas,310
VAn,10.0,Hybrid,1
VAn,11.0,Diesel,90
VAn,11.0,Gas,318
VAn,12.0,Diesel,183
VAn,12.0,Gas,290
VAn,12.0,PEV,1
VAn,13.0,Diesel,54
VAn,13.0,Gas,197
VAn,14.0,Diesel,49
VAn,14.0,Gas,157
VAn,15.0,Diesel,32
VAn,15.0,Gas,99
VAn,16.0,Diesel,102
VAn,16.0,Gas,223
VAn,17.0,Diesel,53
VAn,17.0,Gas,239
VAn,18.0,Diesel,90
VAn,18.0,Gas,332
VAn,19.0,Diesel,71
VAn,19.0,Gas,277
VAn,19.0,Hybrid,1
VAn,20.0,Diesel,186
VAn,20.0,Gas,2035
Van,1.0,Gas,87
Van,1.0,Hybrid,72
Van,2.0,Diesel,14
Van,2.0,Gas,252
Van,2.0,Hybrid,307
Van,2.0,PEV,9
Van,3.0,Diesel,37
Van,3.0,Gas,275
Van,3.0,Hybrid,219
Van,4.0,Diesel,30
Van,4.0,Gas,544
Van,4.0,Hybrid,52
Van,5.0,Diesel,31
Van,5.0,Gas,912
Van,5.0,Hybrid,16
Van,6.0,Diesel,17
Van,6.0,Gas,734
Van,6.0,Hybrid,99
Van,7.0,Diesel,10
Van,7.0,Gas,923
Van,7.0,Hybrid,17
Van,7.0,PEV,1
Van,8.0,Diesel,34
Van,8.0,Gas,1022
Van,8.0,Hybrid,1
Van,9.0,Diesel,33
Van,9.0,Gas,1244
Van,10.0,Diesel,10
Van,10.0,Gas,945
Van,10.0,PEV,1
Van,11.0,Diesel,10
Van,11.0,Gas,934
Van,11.0,Hybrid,4
Van,12.0,Diesel,11
Van,12.0,Gas,904
Van,13.0,Diesel,4
Van,13.0,Gas,639
Van,14.0,Diesel,4
Van,14.0,Gas,599
Van,14.0,Hybrid,1
Van,15.0,Gas,458
Van,15.0,Hybrid,1
Van,16.0,Diesel,13
Van,16.0,Gas,921
Van,17.0,Diesel,9
Van,17.0,Gas,1106
Van,17.0,Hybrid,1
Van,18.0,Diesel,26
Van,18.0,Gas,1512
Van,18.0,Hybrid,1
Van,19.0,Diesel,18
Van,19.0,Gas,1416
Van,19.0,Hybrid,1
Van,20.0,Diesel,60
Van,20.0,Gas,6723
Van,20.0,Hybrid,1
Van,20.0,PEV,8
