purpose,avgDist
1: Work,3.129171698
2: University,2.741176277
3: School,3.140738083
4: Escort,3.634441134
5: Individual Maintenance,3.082447948
6: Individual Discretionary,2.682282274
7: Joint Maintenance,2.277430444
8: Joint Discretionary,1.442567537
9: Work-based,0.741449212
Total,2.907752309
