tour_composition,NUMBER_HH,freq
All Adult,2,99.44007773
Mixed,2,70.4345087
All Adult,3,0.536308052
Mixed,3,26.44358435
All Adult,4,0.023614218
Mixed,4,3.121906949
All Adult,5,0
Mixed,5,0
