purpose,avgDist
4: Escort,4.20403581
5: Individual Maintenance,6.505962386
6: Individual Discretionary,4.341572117
7: Joint Maintenance,5.925946946
8: Joint Discretionary,3.38765557
9: Work-based,3.312783635
Total,4.922208539
