tourdur,purpose,freq
0.5,1: Work,1686.452874
1,1: Work,1156.225211
1.5,1: Work,773.2378505
2,1: Work,532.6066127
2.5,1: Work,7353.479154
3,1: Work,7163.451224
3.5,1: Work,9328.420952
4,1: Work,1156.783282
4.5,1: Work,3110.418765
5,1: Work,10050.74848
5.5,1: Work,8978.611807
6,1: Work,14402.93669
6.5,1: Work,15403.06322
7,1: Work,16939.43576
7.5,1: Work,22220.99563
8,1: Work,26533.63542
8.5,1: Work,34513.04305
9,1: Work,28550.03524
9.5,1: Work,57355.58693
10,1: Work,66490.93591
10.5,1: Work,117627.0371
11,1: Work,64682.07786
11.5,1: Work,39630.58879
12,1: Work,42475.16447
12.5,1: Work,17942.86871
13,1: Work,38513.70844
13.5,1: Work,8938.613174
14,1: Work,21183.82636
14.5,1: Work,12435.12369
15,1: Work,9875.16978
15.5,1: Work,157.4489976
16,1: Work,297.3004518
16.5,1: Work,41.58743487
17,1: Work,253.448798
17.5,1: Work,111.9847077
18,1: Work,0
18.5,1: Work,0
0.5,2: University,10.73205571
1,2: University,216.7849837
1.5,2: University,166.4696973
2,2: University,3222.04329
2.5,2: University,8148.043085
3,2: University,657.7001381
3.5,2: University,591.5657408
4,2: University,598.6359996
4.5,2: University,2702.266028
5,2: University,3792.672097
5.5,2: University,6542.690665
6,2: University,922.263579
6.5,2: University,4093.184699
7,2: University,683.205554
7.5,2: University,1244.063512
8,2: University,30.20061006
8.5,2: University,1132.712109
9,2: University,507.7174856
9.5,2: University,0
10,2: University,126.7713221
10.5,2: University,1210.147593
11,2: University,82.32289521
11.5,2: University,0
12,2: University,1077.324732
12.5,2: University,240.5034026
13,2: University,0
13.5,2: University,0
14,2: University,3178.468119
14.5,2: University,0
15,2: University,60.28272851
15.5,2: University,0
16,2: University,6785.372526
16.5,2: University,1701.267341
17,2: University,0
17.5,2: University,0
18,2: University,0
18.5,2: University,1701.267341
19,2: University,0
19.5,2: University,0
0.5,3: School,2065.421375
1,3: School,13002.45103
1.5,3: School,14418.41668
2,3: School,20141.65564
2.5,3: School,477.9314731
3,3: School,346.4825441
3.5,3: School,4066.070336
