trip_mode,tour_mode,purpose,value
01: SOV,01: SOV,1: Work,1472339.809
02: Shared Ride 2,01: SOV,1: Work,0
03: Shared Ride 3+,01: SOV,1: Work,33.26580444
04: Walk,01: SOV,1: Work,30017.1435
05: Bike,01: SOV,1: Work,775.4080014
08: Walk to Transit,01: SOV,1: Work,0
09: PNR to Transit,01: SOV,1: Work,0
10: KNR to Transit,01: SOV,1: Work,0
11: TNC to Transit,01: SOV,1: Work,0
12: Taxi,01: SOV,1: Work,0
13: TNC Single,01: SOV,1: Work,0
14: TNC Shared,01: SOV,1: Work,0
15: School Bus,01: SOV,1: Work,0
07: E-Scooter,01: SOV,1: Work,0
06: E-Bike,01: SOV,1: Work,55.61790477
01: SOV,02: Shared Ride 2,1: Work,127936.8098
02: Shared Ride 2,02: Shared Ride 2,1: Work,129701.1067
03: Shared Ride 3+,02: Shared Ride 2,1: Work,0
04: Walk,02: Shared Ride 2,1: Work,18326.99465
05: Bike,02: Shared Ride 2,1: Work,32.55741452
08: Walk to Transit,02: Shared Ride 2,1: Work,0
09: PNR to Transit,02: Shared Ride 2,1: Work,0
10: KNR to Transit,02: Shared Ride 2,1: Work,0
11: TNC to Transit,02: Shared Ride 2,1: Work,0
12: Taxi,02: Shared Ride 2,1: Work,0
13: TNC Single,02: Shared Ride 2,1: Work,1735.600024
14: TNC Shared,02: Shared Ride 2,1: Work,0
15: School Bus,02: Shared Ride 2,1: Work,0
07: E-Scooter,02: Shared Ride 2,1: Work,0
06: E-Bike,02: Shared Ride 2,1: Work,0
01: SOV,03: Shared Ride 3+,1: Work,127729.0063
02: Shared Ride 2,03: Shared Ride 3+,1: Work,44898.92144
03: Shared Ride 3+,03: Shared Ride 3+,1: Work,135830.7477
04: Walk,03: Shared Ride 3+,1: Work,4056.932504
05: Bike,03: Shared Ride 3+,1: Work,0
08: Walk to Transit,03: Shared Ride 3+,1: Work,0
09: PNR to Transit,03: Shared Ride 3+,1: Work,0
10: KNR to Transit,03: Shared Ride 3+,1: Work,0
11: TNC to Transit,03: Shared Ride 3+,1: Work,0
12: Taxi,03: Shared Ride 3+,1: Work,0
13: TNC Single,03: Shared Ride 3+,1: Work,0
14: TNC Shared,03: Shared Ride 3+,1: Work,0
15: School Bus,03: Shared Ride 3+,1: Work,0
07: E-Scooter,03: Shared Ride 3+,1: Work,0
06: E-Bike,03: Shared Ride 3+,1: Work,0
01: SOV,04: Walk,1: Work,0
02: Shared Ride 2,04: Walk,1: Work,0
03: Shared Ride 3+,04: Walk,1: Work,0
04: Walk,04: Walk,1: Work,22081.19035
05: Bike,04: Walk,1: Work,0
08: Walk to Transit,04: Walk,1: Work,0
09: PNR to Transit,04: Walk,1: Work,0
10: KNR to Transit,04: Walk,1: Work,0
11: TNC to Transit,04: Walk,1: Work,0
12: Taxi,04: Walk,1: Work,0
13: TNC Single,04: Walk,1: Work,0
14: TNC Shared,04: Walk,1: Work,0
15: School Bus,04: Walk,1: Work,0
07: E-Scooter,04: Walk,1: Work,0
06: E-Bike,04: Walk,1: Work,0
01: SOV,05: Bike,1: Work,0
02: Shared Ride 2,05: Bike,1: Work,0
03: Shared Ride 3+,05: Bike,1: Work,0
04: Walk,05: Bike,1: Work,0
05: Bike,05: Bike,1: Work,28661.9248
08: Walk to Transit,05: Bike,1: Work,0
09: PNR to Transit,05: Bike,1: Work,0
10: KNR to Transit,05: Bike,1: Work,0
11: TNC to Transit,05: Bike,1: Work,0
12: Taxi,05: Bike,1: Work,0
